"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,1,3,1,3,"2;1","sRlCIwaS",100,4,3,0,0.6,1
2,0.916994123273797,1,8,1,11,"2;1","sRlCIwaS",100,4,3,0,0.6,1
3,1.08914517896752,1,3,1,14,"2;1","sRlCIwaS",100,4,3,0,0.6,1
4,0.5,1,4,1,18,"2;1","sRlCIwaS",100,4,3,0,0.6,1
5,0.5,2,3,1,21,"2;1","sRlCIwaS",100,4,3,0,0.6,1
6,0.538209375129857,1,2,1,23,"2;1","sRlCIwaS",100,4,3,0,0.6,1
7,0.736754411552747,1,1,1,24,"2;1","sRlCIwaS",100,4,3,0,0.6,1
8,1.03148467047199,1,6,1,30,"2;1","sRlCIwaS",100,4,3,0,0.6,1
9,0.836243607422224,2,-2,1,28,"2;1","sRlCIwaS",100,4,3,0,0.6,1
10,0.842360066421545,1,2,1,30,"2;1","sRlCIwaS",100,4,3,0,0.6,1
11,0.900787009698336,1,5,1,35,"2;1","sRlCIwaS",100,4,3,0,0.6,1
12,0.73901993084716,1,5,1,40,"2;1","sRlCIwaS",100,4,3,0,0.6,1
13,0.600925668653566,1,4,1,44,"2;1","sRlCIwaS",100,4,3,0,0.6,1
14,0.829726041280558,1,3,1,47,"2;1","sRlCIwaS",100,4,3,0,0.6,1
15,0.977444559100938,2,3,1,50,"2;1","sRlCIwaS",100,4,3,0,0.6,1
16,0.792453279342693,1,-3,1,47,"2;1","sRlCIwaS",100,4,3,0,0.6,1
17,1.0844757140427,1,5,1,52,"2;1","sRlCIwaS",100,4,3,0,0.6,1
18,0.808473833086329,2,0,1,52,"2;1","sRlCIwaS",100,4,3,0,0.6,1
19,0.959847683211239,1,3,1,55,"2;1","sRlCIwaS",100,4,3,0,0.6,1
20,0.638774631735058,1,2,1,57,"2;1","sRlCIwaS",100,4,3,0,0.6,1
1,0.622873409868193,1,3,2,3,"1;2","sRlCIwaS",100,4,3,0,0.6,1
2,0.5,1,4,2,7,"1;2","sRlCIwaS",100,4,3,0,0.6,1
3,0.951157149990258,2,23,2,30,"1;2","sRlCIwaS",100,4,3,0,0.6,1
4,1.03345852480551,2,-11,2,19,"1;2","sRlCIwaS",100,4,3,0,0.6,1
5,0.603548819434436,2,21,2,40,"1;2","sRlCIwaS",100,4,3,0,0.6,1
6,0.780384212470434,2,27,2,67,"1;2","sRlCIwaS",100,4,3,0,0.6,1
7,0.73186182641307,2,-10,2,57,"1;2","sRlCIwaS",100,4,3,0,0.6,1
8,0.841169834558722,2,25,2,82,"1;2","sRlCIwaS",100,4,3,0,0.6,1
9,0.783322368163759,1,2,2,84,"1;2","sRlCIwaS",100,4,3,0,0.6,1
10,0.97669290581781,1,3,2,87,"1;2","sRlCIwaS",100,4,3,0,0.6,1
11,0.588465266333106,2,-2,2,85,"1;2","sRlCIwaS",100,4,3,0,0.6,1
12,0.96928722653096,1,2,2,87,"1;2","sRlCIwaS",100,4,3,0,0.6,1
13,1.02126966050314,1,5,2,92,"1;2","sRlCIwaS",100,4,3,0,0.6,1
14,1.31223397598394,1,1,2,93,"1;2","sRlCIwaS",100,4,3,0,0.6,1
15,0.523836880675241,2,8,2,101,"1;2","sRlCIwaS",100,4,3,0,0.6,1
16,0.609020315211234,1,0,2,101,"1;2","sRlCIwaS",100,4,3,0,0.6,1
17,1.09572682866127,1,4,2,105,"1;2","sRlCIwaS",100,4,3,0,0.6,1
18,0.523943965760542,1,2,2,107,"1;2","sRlCIwaS",100,4,3,0,0.6,1
19,0.859469757004897,1,7,2,114,"1;2","sRlCIwaS",100,4,3,0,0.6,1
20,0.871892215915592,2,7,2,121,"1;2","sRlCIwaS",100,4,3,0,0.6,1
21,0.770844822884402,1,4,2,125,"1;2","sRlCIwaS",100,4,3,0,0.6,1
22,1.38802603263325,2,-19,2,106,"1;2","sRlCIwaS",100,4,3,0,0.6,1
23,0.5,1,2,2,108,"1;2","sRlCIwaS",100,4,3,0,0.6,1
24,0.555059177599612,1,3,2,111,"1;2","sRlCIwaS",100,4,3,0,0.6,1
25,0.5,1,5,2,116,"1;2","sRlCIwaS",100,4,3,0,0.6,1
1,0.833528780789045,2,4,3,4,"1;2","sRlCIwaS",100,4,3,0,0.6,1
2,0.837078097545377,2,1,3,5,"1;2","sRlCIwaS",100,4,3,0,0.6,1
