"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.931763373447592,2,4,1,4,"1;2","tT2RJhul",100,5,2,2,0.4,2
2,0.801621329462893,2,4,1,8,"1;2","tT2RJhul",100,5,2,2,0.4,2
3,1.04056998587054,2,2,1,10,"1;2","tT2RJhul",100,5,2,2,0.4,2
4,0.794767456428746,2,0,1,10,"1;2","tT2RJhul",100,5,2,2,0.4,2
5,0.812985628197812,2,6,1,16,"1;2","tT2RJhul",100,5,2,2,0.4,2
6,0.919783203461708,2,5,1,21,"1;2","tT2RJhul",100,5,2,2,0.4,2
7,1.00508501716134,2,-1,1,20,"1;2","tT2RJhul",100,5,2,2,0.4,2
8,0.670122235981633,1,4,1,24,"1;2","tT2RJhul",100,5,2,2,0.4,2
9,0.667946732698272,2,0,1,24,"1;2","tT2RJhul",100,5,2,2,0.4,2
10,0.845561983446151,1,5,1,29,"1;2","tT2RJhul",100,5,2,2,0.4,2
11,1.35875698548322,2,-1,1,28,"1;2","tT2RJhul",100,5,2,2,0.4,2
12,0.743668209414112,2,5,1,33,"1;2","tT2RJhul",100,5,2,2,0.4,2
13,0.678255011211046,2,5,1,38,"1;2","tT2RJhul",100,5,2,2,0.4,2
14,0.502894961041918,2,6,1,44,"1;2","tT2RJhul",100,5,2,2,0.4,2
15,1.00734147956579,2,5,1,49,"1;2","tT2RJhul",100,5,2,2,0.4,2
16,0.5,2,6,1,55,"1;2","tT2RJhul",100,5,2,2,0.4,2
17,1.52020058487357,2,0,1,55,"1;2","tT2RJhul",100,5,2,2,0.4,2
18,1.03753340005287,1,4,1,59,"1;2","tT2RJhul",100,5,2,2,0.4,2
19,0.912955706234108,2,1,1,60,"1;2","tT2RJhul",100,5,2,2,0.4,2
20,1.15015320657557,1,2,1,62,"1;2","tT2RJhul",100,5,2,2,0.4,2
1,0.845493343876081,1,9,2,9,"1;2","tT2RJhul",100,5,2,2,0.4,2
2,0.852693914914921,1,0,2,9,"1;2","tT2RJhul",100,5,2,2,0.4,2
3,1.09984197998333,2,4,2,13,"1;2","tT2RJhul",100,5,2,2,0.4,2
4,0.932470293438944,1,4,2,17,"1;2","tT2RJhul",100,5,2,2,0.4,2
5,0.914980715337217,1,7,2,24,"1;2","tT2RJhul",100,5,2,2,0.4,2
6,1.01840256272962,2,9,2,33,"1;2","tT2RJhul",100,5,2,2,0.4,2
7,1.24767108894789,1,1,2,34,"1;2","tT2RJhul",100,5,2,2,0.4,2
8,0.74600086206146,1,4,2,38,"1;2","tT2RJhul",100,5,2,2,0.4,2
9,0.91800433019596,1,1,2,39,"1;2","tT2RJhul",100,5,2,2,0.4,2
10,1.03592935637307,2,-7,2,32,"1;2","tT2RJhul",100,5,2,2,0.4,2
11,0.861079976369605,2,21,2,53,"1;2","tT2RJhul",100,5,2,2,0.4,2
12,0.564170502429449,2,-6,2,47,"1;2","tT2RJhul",100,5,2,2,0.4,2
13,0.582267679775893,1,6,2,53,"1;2","tT2RJhul",100,5,2,2,0.4,2
14,1.23644854771098,2,2,2,55,"1;2","tT2RJhul",100,5,2,2,0.4,2
15,0.938400608350658,1,5,2,60,"1;2","tT2RJhul",100,5,2,2,0.4,2
