"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.723920472364945,1,2,1,2,"2;1","uFUSZabM",100,4,4,0,0.8,1
2,0.833727537642685,1,8,1,10,"2;1","uFUSZabM",100,4,4,0,0.8,1
3,0.863691442786057,1,4,1,14,"2;1","uFUSZabM",100,4,4,0,0.8,1
4,0.84301257993726,1,6,1,20,"2;1","uFUSZabM",100,4,4,0,0.8,1
5,1.14529139911557,1,4,1,24,"2;1","uFUSZabM",100,4,4,0,0.8,1
6,0.873206988671679,1,1,1,25,"2;1","uFUSZabM",100,4,4,0,0.8,1
7,0.626648430164818,1,5,1,30,"2;1","uFUSZabM",100,4,4,0,0.8,1
8,0.924539260009396,1,5,1,35,"2;1","uFUSZabM",100,4,4,0,0.8,1
9,1.2394440711311,1,4,1,39,"2;1","uFUSZabM",100,4,4,0,0.8,1
10,1.16275082890155,2,4,1,43,"2;1","uFUSZabM",100,4,4,0,0.8,1
11,0.5,1,-2,1,41,"2;1","uFUSZabM",100,4,4,0,0.8,1
12,0.515371406274728,1,8,1,49,"2;1","uFUSZabM",100,4,4,0,0.8,1
13,0.877841333873267,1,3,1,52,"2;1","uFUSZabM",100,4,4,0,0.8,1
14,0.561523508093267,1,3,1,55,"2;1","uFUSZabM",100,4,4,0,0.8,1
15,1.11305924530418,2,4,1,59,"2;1","uFUSZabM",100,4,4,0,0.8,1
16,0.80591546008134,1,2,1,61,"2;1","uFUSZabM",100,4,4,0,0.8,1
17,0.697607031936248,2,1,1,62,"2;1","uFUSZabM",100,4,4,0,0.8,1
18,0.5,1,3,1,65,"2;1","uFUSZabM",100,4,4,0,0.8,1
19,0.782733929801692,1,0,1,65,"2;1","uFUSZabM",100,4,4,0,0.8,1
20,1.02407913990675,1,2,1,67,"2;1","uFUSZabM",100,4,4,0,0.8,1
1,0.616040882886024,2,3,2,3,"2;1","uFUSZabM",100,4,4,0,0.8,1
2,0.980401876197341,1,2,2,5,"2;1","uFUSZabM",100,4,4,0,0.8,1
