"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.764018918759291,2,1,1,1,"2;1","uMzYkZZf",100,6,1,0,0.2,1
2,0.572514965083181,2,1,1,2,"2;1","uMzYkZZf",100,6,1,0,0.2,1
3,0.722954462274587,2,3,1,5,"2;1","uMzYkZZf",100,6,1,0,0.2,1
4,0.590731432439544,1,1,1,6,"2;1","uMzYkZZf",100,6,1,0,0.2,1
5,1.11490107463381,2,1,1,7,"2;1","uMzYkZZf",100,6,1,0,0.2,1
6,0.682345514732084,2,4,1,11,"2;1","uMzYkZZf",100,6,1,0,0.2,1
7,0.964555039103216,2,1,1,12,"2;1","uMzYkZZf",100,6,1,0,0.2,1
8,0.658029001463552,1,1,1,13,"2;1","uMzYkZZf",100,6,1,0,0.2,1
9,1.33115106170913,2,4,1,17,"2;1","uMzYkZZf",100,6,1,0,0.2,1
10,0.771268784896678,2,5,1,22,"2;1","uMzYkZZf",100,6,1,0,0.2,1
11,0.697519330060784,1,3,1,25,"2;1","uMzYkZZf",100,6,1,0,0.2,1
12,0.630987993004038,1,1,1,26,"2;1","uMzYkZZf",100,6,1,0,0.2,1
13,1.30723600789745,2,2,1,28,"2;1","uMzYkZZf",100,6,1,0,0.2,1
14,0.905279260052364,2,4,1,32,"2;1","uMzYkZZf",100,6,1,0,0.2,1
15,0.815140879335073,1,1,1,33,"2;1","uMzYkZZf",100,6,1,0,0.2,1
16,1.22741821958171,1,1,1,34,"2;1","uMzYkZZf",100,6,1,0,0.2,1
17,0.672363173917,2,7,1,41,"2;1","uMzYkZZf",100,6,1,0,0.2,1
18,0.939195147711731,1,3,1,44,"2;1","uMzYkZZf",100,6,1,0,0.2,1
19,0.834164784935238,2,3,1,47,"2;1","uMzYkZZf",100,6,1,0,0.2,1
20,0.67785518525179,2,-1,1,46,"2;1","uMzYkZZf",100,6,1,0,0.2,1
1,0.790782575601919,2,-12,2,-12,"1;2","uMzYkZZf",100,6,1,0,0.2,1
2,0.791744138062683,1,6,2,-6,"1;2","uMzYkZZf",100,6,1,0,0.2,1
3,0.871414008369883,1,3,2,-3,"1;2","uMzYkZZf",100,6,1,0,0.2,1
4,0.984141309149034,2,10,2,7,"1;2","uMzYkZZf",100,6,1,0,0.2,1
5,1.17346072150238,2,7,2,14,"1;2","uMzYkZZf",100,6,1,0,0.2,1
6,0.626119609381285,2,9,2,23,"1;2","uMzYkZZf",100,6,1,0,0.2,1
7,0.741168050776613,1,-3,2,20,"1;2","uMzYkZZf",100,6,1,0,0.2,1
8,0.868012925787617,2,14,2,34,"1;2","uMzYkZZf",100,6,1,0,0.2,1
9,0.565885247926566,1,2,2,36,"1;2","uMzYkZZf",100,6,1,0,0.2,1
10,0.818399628930985,2,10,2,46,"1;2","uMzYkZZf",100,6,1,0,0.2,1
11,0.715234713201941,2,0,2,46,"1;2","uMzYkZZf",100,6,1,0,0.2,1
12,0.993036416090956,2,-3,2,43,"1;2","uMzYkZZf",100,6,1,0,0.2,1
13,0.5,2,-12,2,31,"1;2","uMzYkZZf",100,6,1,0,0.2,1
14,0.906719482782278,2,7,2,38,"1;2","uMzYkZZf",100,6,1,0,0.2,1
15,0.5,1,-3,2,35,"1;2","uMzYkZZf",100,6,1,0,0.2,1
16,0.881972368423732,1,-2,2,33,"1;2","uMzYkZZf",100,6,1,0,0.2,1
17,0.769562623375035,2,12,2,45,"1;2","uMzYkZZf",100,6,1,0,0.2,1
18,0.5,2,8,2,53,"1;2","uMzYkZZf",100,6,1,0,0.2,1
19,0.628523951366609,2,1,2,54,"1;2","uMzYkZZf",100,6,1,0,0.2,1
20,0.726893317770471,2,-9,2,45,"1;2","uMzYkZZf",100,6,1,0,0.2,1
21,0.744789826792254,2,-6,2,39,"1;2","uMzYkZZf",100,6,1,0,0.2,1
22,0.97821175046151,2,9,2,48,"1;2","uMzYkZZf",100,6,1,0,0.2,1
23,0.824952758337775,1,2,2,50,"1;2","uMzYkZZf",100,6,1,0,0.2,1
24,0.771498442843873,1,5,2,55,"1;2","uMzYkZZf",100,6,1,0,0.2,1
25,0.854992365925868,1,3,2,58,"1;2","uMzYkZZf",100,6,1,0,0.2,1
1,1.18498270849985,1,6,3,6,"1;2","uMzYkZZf",100,6,1,0,0.2,1
2,0.5,1,6,3,12,"1;2","uMzYkZZf",100,6,1,0,0.2,1
3,0.915555665870381,1,7,3,19,"1;2","uMzYkZZf",100,6,1,0,0.2,1
4,0.628280321306355,1,3,3,22,"1;2","uMzYkZZf",100,6,1,0,0.2,1
5,1.17511814503447,1,3,3,25,"1;2","uMzYkZZf",100,6,1,0,0.2,1
6,0.825493665577152,1,7,3,32,"1;2","uMzYkZZf",100,6,1,0,0.2,1
7,1.12799434919866,2,17,3,49,"1;2","uMzYkZZf",100,6,1,0,0.2,1
8,0.539208670135868,1,1,3,50,"1;2","uMzYkZZf",100,6,1,0,0.2,1
9,0.5,1,1,3,51,"1;2","uMzYkZZf",100,6,1,0,0.2,1
10,0.5,1,5,3,56,"1;2","uMzYkZZf",100,6,1,0,0.2,1
11,0.501149097737597,2,4,3,60,"1;2","uMzYkZZf",100,6,1,0,0.2,1
12,0.767321779321147,1,8,3,68,"1;2","uMzYkZZf",100,6,1,0,0.2,1
13,0.757739110341774,1,9,3,77,"1;2","uMzYkZZf",100,6,1,0,0.2,1
14,0.828353079979594,2,24,3,101,"1;2","uMzYkZZf",100,6,1,0,0.2,1
15,0.920043435455834,2,-20,3,81,"1;2","uMzYkZZf",100,6,1,0,0.2,1
16,0.791237609680832,1,5,3,86,"1;2","uMzYkZZf",100,6,1,0,0.2,1
17,1.04414979836723,1,1,3,87,"1;2","uMzYkZZf",100,6,1,0,0.2,1
18,0.92937284107419,1,3,3,90,"1;2","uMzYkZZf",100,6,1,0,0.2,1
19,0.570358775109881,1,1,3,91,"1;2","uMzYkZZf",100,6,1,0,0.2,1
20,1.1767945982166,1,2,3,93,"1;2","uMzYkZZf",100,6,1,0,0.2,1
21,0.957267921434152,1,6,3,99,"1;2","uMzYkZZf",100,6,1,0,0.2,1
22,0.793454908554806,1,4,3,103,"1;2","uMzYkZZf",100,6,1,0,0.2,1
23,0.937710221037618,2,-15,3,88,"1;2","uMzYkZZf",100,6,1,0,0.2,1
