"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.19849833475073,1,4,1,4,"1;2","vNXwFnHO",100,5,2,0,0.4,2
2,0.50159577456996,2,-1,1,3,"1;2","vNXwFnHO",100,5,2,0,0.4,2
3,0.5,1,2,1,5,"1;2","vNXwFnHO",100,5,2,0,0.4,2
4,1.44710285472485,2,3,1,8,"1;2","vNXwFnHO",100,5,2,0,0.4,2
5,0.720135323524017,2,0,1,8,"1;2","vNXwFnHO",100,5,2,0,0.4,2
6,0.788281700498485,1,0,1,8,"1;2","vNXwFnHO",100,5,2,0,0.4,2
7,1.26200108124436,1,5,1,13,"1;2","vNXwFnHO",100,5,2,0,0.4,2
8,0.840032894940542,2,4,1,17,"1;2","vNXwFnHO",100,5,2,0,0.4,2
9,0.627688393189351,1,0,1,17,"1;2","vNXwFnHO",100,5,2,0,0.4,2
10,0.628481668457917,1,0,1,17,"1;2","vNXwFnHO",100,5,2,0,0.4,2
11,0.85060174030933,1,1,1,18,"1;2","vNXwFnHO",100,5,2,0,0.4,2
12,0.678665328508332,1,5,1,23,"1;2","vNXwFnHO",100,5,2,0,0.4,2
13,0.871699037721865,2,2,1,25,"1;2","vNXwFnHO",100,5,2,0,0.4,2
14,0.968385757705839,1,3,1,28,"1;2","vNXwFnHO",100,5,2,0,0.4,2
15,1.03928602492782,2,5,1,33,"1;2","vNXwFnHO",100,5,2,0,0.4,2
16,0.827188369592016,1,3,1,36,"1;2","vNXwFnHO",100,5,2,0,0.4,2
17,0.892668926013329,2,3,1,39,"1;2","vNXwFnHO",100,5,2,0,0.4,2
18,1.10018530256179,2,1,1,40,"1;2","vNXwFnHO",100,5,2,0,0.4,2
19,0.848416222349171,1,-1,1,39,"1;2","vNXwFnHO",100,5,2,0,0.4,2
20,0.700074049003322,2,3,1,42,"1;2","vNXwFnHO",100,5,2,0,0.4,2
1,1.10405630775583,1,16,2,16,"2;1","vNXwFnHO",100,5,2,0,0.4,2
2,0.986866678810305,1,7,2,23,"2;1","vNXwFnHO",100,5,2,0,0.4,2
3,0.630846045173002,1,12,2,35,"2;1","vNXwFnHO",100,5,2,0,0.4,2
4,0.829160878868698,1,-18,2,17,"2;1","vNXwFnHO",100,5,2,0,0.4,2
5,0.666600191310029,1,18,2,35,"2;1","vNXwFnHO",100,5,2,0,0.4,2
6,0.546109551448894,1,2,2,37,"2;1","vNXwFnHO",100,5,2,0,0.4,2
7,0.593778490416931,1,3,2,40,"2;1","vNXwFnHO",100,5,2,0,0.4,2
8,1.22555342764623,1,5,2,45,"2;1","vNXwFnHO",100,5,2,0,0.4,2
9,0.843171410531289,1,9,2,54,"2;1","vNXwFnHO",100,5,2,0,0.4,2
10,0.536762698734844,1,-1,2,53,"2;1","vNXwFnHO",100,5,2,0,0.4,2
11,1.14112084788985,2,2,2,55,"2;1","vNXwFnHO",100,5,2,0,0.4,2
12,0.605027389225406,1,-14,2,41,"2;1","vNXwFnHO",100,5,2,0,0.4,2
13,0.787463953869248,1,7,2,48,"2;1","vNXwFnHO",100,5,2,0,0.4,2
14,0.732659671710894,1,-10,2,38,"2;1","vNXwFnHO",100,5,2,0,0.4,2
15,0.739145723198138,2,2,2,40,"2;1","vNXwFnHO",100,5,2,0,0.4,2
16,0.854357122155584,1,5,2,45,"2;1","vNXwFnHO",100,5,2,0,0.4,2
17,0.651697853507626,1,-16,2,29,"2;1","vNXwFnHO",100,5,2,0,0.4,2
18,1.09843768126983,2,1,2,30,"2;1","vNXwFnHO",100,5,2,0,0.4,2
19,0.7959416225004,1,14,2,44,"2;1","vNXwFnHO",100,5,2,0,0.4,2
20,1.00165934393205,1,6,2,50,"2;1","vNXwFnHO",100,5,2,0,0.4,2
21,0.801334571397371,1,-4,2,46,"2;1","vNXwFnHO",100,5,2,0,0.4,2
22,0.7701605238565,1,-17,2,29,"2;1","vNXwFnHO",100,5,2,0,0.4,2
23,1.18530890146502,1,4,2,33,"2;1","vNXwFnHO",100,5,2,0,0.4,2
24,0.87862270182536,1,-2,2,31,"2;1","vNXwFnHO",100,5,2,0,0.4,2
25,1.27584446649398,2,0,2,31,"2;1","vNXwFnHO",100,5,2,0,0.4,2
1,1.04352422670982,1,7,3,7,"1;2","vNXwFnHO",100,5,2,0,0.4,2
2,0.556756499335218,1,3,3,10,"1;2","vNXwFnHO",100,5,2,0,0.4,2
3,1.02818286422985,2,-16,3,-6,"1;2","vNXwFnHO",100,5,2,0,0.4,2
4,0.5,1,3,3,-3,"1;2","vNXwFnHO",100,5,2,0,0.4,2
5,1.04692777051065,1,7,3,4,"1;2","vNXwFnHO",100,5,2,0,0.4,2
6,0.5,1,1,3,5,"1;2","vNXwFnHO",100,5,2,0,0.4,2
7,0.854591423344543,1,4,3,9,"1;2","vNXwFnHO",100,5,2,0,0.4,2
8,1.20847209431568,1,5,3,14,"1;2","vNXwFnHO",100,5,2,0,0.4,2
9,1.0961914733215,1,1,3,15,"1;2","vNXwFnHO",100,5,2,0,0.4,2
10,0.647355221247505,1,4,3,19,"1;2","vNXwFnHO",100,5,2,0,0.4,2
11,0.972290563330299,1,1,3,20,"1;2","vNXwFnHO",100,5,2,0,0.4,2
12,0.664981090111085,1,5,3,25,"1;2","vNXwFnHO",100,5,2,0,0.4,2
13,1.10254375669034,2,1,3,26,"1;2","vNXwFnHO",100,5,2,0,0.4,2
14,1.1350032168639,1,1,3,27,"1;2","vNXwFnHO",100,5,2,0,0.4,2
15,1.05684039600371,2,28,3,55,"1;2","vNXwFnHO",100,5,2,0,0.4,2
16,0.5,2,-17,3,38,"1;2","vNXwFnHO",100,5,2,0,0.4,2
17,1.30161727850818,2,-5,3,33,"1;2","vNXwFnHO",100,5,2,0,0.4,2
18,0.987273947352815,2,-13,3,20,"1;2","vNXwFnHO",100,5,2,0,0.4,2
19,0.640882555727222,2,-9,3,11,"1;2","vNXwFnHO",100,5,2,0,0.4,2
20,1.20327961424157,2,5,3,16,"1;2","vNXwFnHO",100,5,2,0,0.4,2
21,1.35251186926988,2,16,3,32,"1;2","vNXwFnHO",100,5,2,0,0.4,2
22,0.733180819726977,2,5,3,37,"1;2","vNXwFnHO",100,5,2,0,0.4,2
23,0.854307881008993,2,6,3,43,"1;2","vNXwFnHO",100,5,2,0,0.4,2
24,1.00703187326887,2,3,3,46,"1;2","vNXwFnHO",100,5,2,0,0.4,2
25,0.5,1,3,3,49,"1;2","vNXwFnHO",100,5,2,0,0.4,2
1,0.862159721556399,1,20,4,20,"2;1","vNXwFnHO",100,5,2,0,0.4,2
2,0.646038706741456,1,6,4,26,"2;1","vNXwFnHO",100,5,2,0,0.4,2
