"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.802770549971656,1,0,1,0,"2;1","vPsqQTxe",100,6,2,0,0.4,1
2,0.749840651710842,1,3,1,3,"2;1","vPsqQTxe",100,6,2,0,0.4,1
3,0.685902182367709,2,5,1,8,"2;1","vPsqQTxe",100,6,2,0,0.4,1
4,0.975875028679439,1,1,1,9,"2;1","vPsqQTxe",100,6,2,0,0.4,1
5,1.14467483321919,1,4,1,13,"2;1","vPsqQTxe",100,6,2,0,0.4,1
6,0.82246928359613,1,1,1,14,"2;1","vPsqQTxe",100,6,2,0,0.4,1
7,0.771744160837653,1,2,1,16,"2;1","vPsqQTxe",100,6,2,0,0.4,1
8,0.654694936521724,2,-2,1,14,"2;1","vPsqQTxe",100,6,2,0,0.4,1
9,0.958581483465292,2,4,1,18,"2;1","vPsqQTxe",100,6,2,0,0.4,1
10,0.843236005098792,2,-1,1,17,"2;1","vPsqQTxe",100,6,2,0,0.4,1
11,0.936441254546817,2,3,1,20,"2;1","vPsqQTxe",100,6,2,0,0.4,1
12,0.630081739180057,2,3,1,23,"2;1","vPsqQTxe",100,6,2,0,0.4,1
13,0.715617341098557,1,4,1,27,"2;1","vPsqQTxe",100,6,2,0,0.4,1
14,0.5,2,3,1,30,"2;1","vPsqQTxe",100,6,2,0,0.4,1
15,0.836063080016771,1,3,1,33,"2;1","vPsqQTxe",100,6,2,0,0.4,1
16,0.940006040689098,1,2,1,35,"2;1","vPsqQTxe",100,6,2,0,0.4,1
17,1.15830611701299,2,-1,1,34,"2;1","vPsqQTxe",100,6,2,0,0.4,1
18,0.624848502894049,2,7,1,41,"2;1","vPsqQTxe",100,6,2,0,0.4,1
19,0.963525983859235,1,0,1,41,"2;1","vPsqQTxe",100,6,2,0,0.4,1
20,0.983738132835475,2,4,1,45,"2;1","vPsqQTxe",100,6,2,0,0.4,1
1,0.83389786841204,1,4,2,4,"1;2","vPsqQTxe",100,6,2,0,0.4,1
