"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.643285786659989,2,2,1,2,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
2,1.28315617084854,1,0,1,2,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
3,1.0538993811409,1,6,1,8,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
4,0.512600619709372,1,4,1,12,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
5,0.532238060479954,2,5,1,17,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
6,0.774601606005529,1,1,1,18,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
7,0.581937215278675,1,2,1,20,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
8,0.79613363814504,2,1,1,21,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
9,0.572788673910032,1,2,1,23,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
10,0.816133877940392,1,2,1,25,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
11,0.73852621459564,2,1,1,26,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
12,0.609159678258284,2,2,1,28,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
13,0.636006449514741,1,-1,1,27,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
14,0.779474685600722,1,-1,1,26,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
15,0.612038602352082,2,4,1,30,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
16,1.01569171566392,1,4,1,34,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
17,0.744984042352191,1,7,1,41,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
18,0.781478880369388,1,3,1,44,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
19,0.691637744908087,2,1,1,45,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
20,0.918425998630703,1,8,1,53,"2;1","vaYmZ8SX",100,5,4,0,0.8,2
1,0.997181379911916,2,3,2,3,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
2,0.707414393822701,2,15,2,18,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
3,0.585913914843846,2,7,2,25,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
4,1.09775258017357,2,3,2,28,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
5,1.04679721872973,1,3,2,31,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
6,0.863863528152418,2,6,2,37,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
7,1.17633536865869,1,7,2,44,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
8,0.997760334655698,2,7,2,51,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
9,1.00793974756257,2,11,2,62,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
10,0.60758913416189,2,-1,2,61,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
11,0.770774114659242,2,16,2,77,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
12,1.40993685484961,2,8,2,85,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
13,0.628146742620016,2,11,2,96,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
14,0.852521780905785,2,9,2,105,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
15,0.743484632915563,2,2,2,107,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
16,1.10467187267192,2,29,2,136,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
17,0.762616010400223,2,1,2,137,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
18,0.662053836506131,1,5,2,142,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
19,0.924439430167075,2,13,2,155,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
20,0.502300041218195,1,6,2,161,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
21,0.574393269514,1,2,2,163,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
22,0.633268306358373,1,3,2,166,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
23,0.511021195935196,2,2,2,168,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
24,0.687110770662885,1,8,2,176,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
25,0.680304435013414,1,4,2,180,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
1,0.864684950141837,1,5,3,5,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
2,0.794163414380069,2,-2,3,3,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
3,0.890815451770602,2,5,3,8,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
4,0.756683989646956,2,-19,3,-11,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
5,0.987991134362374,2,11,3,0,"1;2","vaYmZ8SX",100,5,4,0,0.8,2
