"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,3,1,3,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
2,0.5,2,5,1,8,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
3,0.814214071959255,2,2,1,10,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
4,0.87002876770166,2,3,1,13,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
5,0.756752420484997,2,3,1,16,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
6,0.68668916936182,2,2,1,18,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
7,0.73993846519451,1,2,1,20,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
8,0.925527563858804,2,1,1,21,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
9,0.673255670989086,2,0,1,21,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
10,0.784427176109001,2,5,1,26,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
11,1.05943766930759,2,3,1,29,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
12,0.657081078911666,2,1,1,30,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
13,1.11431046090857,2,4,1,34,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
14,1.2928862672445,2,1,1,35,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
15,0.593557050192785,2,2,1,37,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
16,0.820241201100343,2,3,1,40,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
17,0.5,2,2,1,42,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
18,0.930186328855619,2,4,1,46,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
19,0.833528571798148,2,3,1,49,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
20,0.8532317953619,2,3,1,52,"1;2","vmx6SdKm",0,1,NA,0,1.05,3
1,1.07344225916248,2,5,2,5,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
2,1.17747376836581,2,0,2,5,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
3,1.00410172805941,2,7,2,12,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
4,0.5326206573451,2,4,2,16,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
5,1.0882591539484,2,1,2,17,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
6,0.561761848865548,2,6,2,23,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
7,1.11372334849303,2,2,2,25,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
8,0.5,2,12,2,37,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
9,0.950047042533168,2,6,2,43,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
10,1.0349043141288,1,10,2,53,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
11,0.5,2,3,2,56,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
12,0.678674992157602,2,2,2,58,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
13,0.52566902180772,2,8,2,66,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
14,0.5,2,6,2,72,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
15,0.885859852852597,2,5,2,77,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
16,0.942193003046982,1,15,2,92,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
17,1.11926539530524,1,-4,2,88,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
18,0.865812707492652,2,2,2,90,"2;1","vmx6SdKm",0,1,NA,0,1.05,3
