"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.578611587463263,2,5,1,5,"1;2","vuWQKHSn",100,6,5,2,1,3
2,0.759319941363473,1,2,1,7,"1;2","vuWQKHSn",100,6,5,2,1,3
3,0.830317836774634,1,2,1,9,"1;2","vuWQKHSn",100,6,5,2,1,3
4,0.583393917770881,2,1,1,10,"1;2","vuWQKHSn",100,6,5,2,1,3
5,1.03658776398357,2,2,1,12,"1;2","vuWQKHSn",100,6,5,2,1,3
6,0.552944635975293,2,2,1,14,"1;2","vuWQKHSn",100,6,5,2,1,3
7,0.5,1,2,1,16,"1;2","vuWQKHSn",100,6,5,2,1,3
8,0.532615995002759,1,7,1,23,"1;2","vuWQKHSn",100,6,5,2,1,3
9,0.685272493773356,1,5,1,28,"1;2","vuWQKHSn",100,6,5,2,1,3
10,0.956502608083826,1,2,1,30,"1;2","vuWQKHSn",100,6,5,2,1,3
11,0.5,1,4,1,34,"1;2","vuWQKHSn",100,6,5,2,1,3
12,1.08583657203853,2,2,1,36,"1;2","vuWQKHSn",100,6,5,2,1,3
13,1.04901258473905,1,6,1,42,"1;2","vuWQKHSn",100,6,5,2,1,3
14,0.719927723310251,2,3,1,45,"1;2","vuWQKHSn",100,6,5,2,1,3
15,0.96869552552827,1,-2,1,43,"1;2","vuWQKHSn",100,6,5,2,1,3
16,0.966296619404317,1,2,1,45,"1;2","vuWQKHSn",100,6,5,2,1,3
17,0.949004584725393,2,6,1,51,"1;2","vuWQKHSn",100,6,5,2,1,3
18,0.865692344176683,2,1,1,52,"1;2","vuWQKHSn",100,6,5,2,1,3
19,0.964626371303993,1,3,1,55,"1;2","vuWQKHSn",100,6,5,2,1,3
20,0.808703557697052,2,-1,1,54,"1;2","vuWQKHSn",100,6,5,2,1,3
1,0.898208558759711,2,2,2,2,"2;1","vuWQKHSn",100,6,5,2,1,3
2,0.856599911106073,2,1,2,3,"2;1","vuWQKHSn",100,6,5,2,1,3
3,0.74780264689216,2,4,2,7,"2;1","vuWQKHSn",100,6,5,2,1,3
4,0.55433250686672,2,3,2,10,"2;1","vuWQKHSn",100,6,5,2,1,3
5,1.40313970627484,2,-2,2,8,"2;1","vuWQKHSn",100,6,5,2,1,3
6,1.10262381256594,2,4,2,12,"2;1","vuWQKHSn",100,6,5,2,1,3
7,0.927217162818181,2,5,2,17,"2;1","vuWQKHSn",100,6,5,2,1,3
8,1.13448470277153,2,3,2,20,"2;1","vuWQKHSn",100,6,5,2,1,3
9,0.664919945222265,2,5,2,25,"2;1","vuWQKHSn",100,6,5,2,1,3
10,0.730404262838401,2,1,2,26,"2;1","vuWQKHSn",100,6,5,2,1,3
11,0.839829748465711,2,5,2,31,"2;1","vuWQKHSn",100,6,5,2,1,3
12,0.5,2,2,2,33,"2;1","vuWQKHSn",100,6,5,2,1,3
13,0.626264443069943,2,3,2,36,"2;1","vuWQKHSn",100,6,5,2,1,3
14,1.04271273664807,2,1,2,37,"2;1","vuWQKHSn",100,6,5,2,1,3
15,0.831652733938676,1,19,2,56,"2;1","vuWQKHSn",100,6,5,2,1,3
16,1.09936062125769,1,27,2,83,"2;1","vuWQKHSn",100,6,5,2,1,3
17,0.880462775041539,1,7,2,90,"2;1","vuWQKHSn",100,6,5,2,1,3
18,1.23590951816868,1,13,2,103,"2;1","vuWQKHSn",100,6,5,2,1,3
19,0.5,2,4,2,107,"2;1","vuWQKHSn",100,6,5,2,1,3
20,1.03067129795503,2,7,2,114,"2;1","vuWQKHSn",100,6,5,2,1,3
21,0.992724107684202,1,-11,2,103,"2;1","vuWQKHSn",100,6,5,2,1,3
22,0.757964063967683,2,1,2,104,"2;1","vuWQKHSn",100,6,5,2,1,3
23,0.5,2,5,2,109,"2;1","vuWQKHSn",100,6,5,2,1,3
24,0.790694819924486,2,0,2,109,"2;1","vuWQKHSn",100,6,5,2,1,3
25,0.5,1,-7,2,102,"2;1","vuWQKHSn",100,6,5,2,1,3
1,0.5,2,3,3,3,"1;2","vuWQKHSn",100,6,5,2,1,3
