"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.825849202600583,2,4,1,4,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
2,0.956425883494125,2,5,1,9,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
3,0.771548606055655,2,2,1,11,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
4,0.805624816852469,2,-1,1,10,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
5,0.531260074790618,2,3,1,13,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
6,0.590192978299765,2,1,1,14,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
7,1.18122981530587,2,4,1,18,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
8,0.635867057214103,2,6,1,24,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
9,0.614717676432154,2,5,1,29,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
10,0.681154205442132,2,1,1,30,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
11,0.616714837752357,2,3,1,33,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
12,1.04447947870448,2,3,1,36,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
13,0.767380465223465,2,4,1,40,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
14,0.667843060307664,2,-2,1,38,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
15,0.5,2,3,1,41,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
16,0.853397125104647,2,0,1,41,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
17,1.13711743851656,2,4,1,45,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
18,0.5,2,5,1,50,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
19,1.10818709930954,2,1,1,51,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
20,0.5,2,1,1,52,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
1,0.71550285668699,2,1,2,1,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
2,0.684813345543503,2,-1,2,0,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
3,0.949605092995264,1,1,2,1,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
4,0.593981762542078,1,5,2,6,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
5,1.064839349877,1,5,2,11,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
6,0.832322176248063,1,1,2,12,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
7,0.736466311987946,2,-24,2,-12,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
8,1.17565046037899,1,4,2,-8,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
9,0.832068792609479,1,4,2,-4,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
10,1.01097347554785,1,1,2,-3,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
11,0.847538383823955,1,3,2,0,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
12,1.01870468643152,1,1,2,1,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
13,0.795879352391049,1,5,2,6,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
14,0.815224488828245,1,5,2,11,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
15,1.03503623087821,1,0,2,11,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
16,0.974049111395085,1,-1,2,10,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
17,0.895898240838543,1,3,2,13,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
18,0.796196658568659,2,3,2,16,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
19,0.733376383489867,1,8,2,24,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
20,0.953871121912746,1,5,2,29,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
21,0.828743425795915,1,3,2,32,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
22,0.644752099877461,2,0,2,32,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
23,0.662919177964354,1,5,2,37,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
24,0.88660793660912,1,2,2,39,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
25,1.08324348389927,2,3,2,42,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
1,0.5,2,5,3,5,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
2,0.8658197870085,2,9,3,14,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
3,0.834160681618883,2,3,3,17,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
4,1.15564754865441,2,2,3,19,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
5,0.782821380136702,2,4,3,23,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
6,0.5,2,6,3,29,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
7,1.17500561420109,2,5,3,34,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
8,0.747889710061425,2,5,3,39,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
9,0.967968504994734,2,2,3,41,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
10,1.16940292676032,2,-1,3,40,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
11,0.627515857832115,2,5,3,45,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
12,0.761363993598395,2,3,3,48,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
13,1.19372189756878,2,4,3,52,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
14,0.675765323063706,2,8,3,60,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
15,0.995187443168629,2,4,3,64,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
16,0.967491884683749,2,2,3,66,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
17,1.1462974783862,1,-7,3,59,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
18,1.01806542198686,2,2,3,61,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
19,0.5,2,7,3,68,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
20,0.741357135828579,2,8,3,76,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
21,0.98085386008044,1,25,3,101,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
22,0.941012841264948,2,4,3,105,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
23,0.866235638405773,1,17,3,122,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
24,1.32402877452554,1,6,3,128,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
25,0.5,1,-2,3,126,"2;1","wLQL7nq7",0,2,NA,0,0.68,1
1,0.74111587354955,1,0,4,0,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
2,1.03285269455839,2,-29,4,-29,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
3,1.09419418944775,1,0,4,-29,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
4,0.672104689397929,1,2,4,-27,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
5,0.73976558692824,1,5,4,-22,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
6,0.630603404911908,1,1,4,-21,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
7,0.568072532049125,1,4,4,-17,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
8,0.869159965268766,1,1,4,-16,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
9,0.814810299917368,1,4,4,-12,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
10,0.506023164773811,1,5,4,-7,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
11,0.781948011783737,1,9,4,2,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
12,0.503934893805064,1,7,4,9,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
13,0.5,1,1,4,10,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
14,0.524253137351163,1,7,4,17,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
15,0.948985470391128,1,8,4,25,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
16,1.10493331144464,1,2,4,27,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
17,0.691729935928592,2,4,4,31,"1;2","wLQL7nq7",0,2,NA,0,0.68,1
