"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.877608740158779,1,2,1,2,"1;2","wX6aWncb",0,2,NA,0,0.94,1
2,0.983318191830871,1,5,1,7,"1;2","wX6aWncb",0,2,NA,0,0.94,1
3,0.639245315480342,1,1,1,8,"1;2","wX6aWncb",0,2,NA,0,0.94,1
4,0.731578922698619,1,3,1,11,"1;2","wX6aWncb",0,2,NA,0,0.94,1
5,1.04793243351119,1,6,1,17,"1;2","wX6aWncb",0,2,NA,0,0.94,1
6,0.620571678237482,1,0,1,17,"1;2","wX6aWncb",0,2,NA,0,0.94,1
7,0.896524253364958,1,3,1,20,"1;2","wX6aWncb",0,2,NA,0,0.94,1
8,0.924588151417101,2,3,1,23,"1;2","wX6aWncb",0,2,NA,0,0.94,1
9,0.896883348373301,1,2,1,25,"1;2","wX6aWncb",0,2,NA,0,0.94,1
10,0.800827472311715,1,4,1,29,"1;2","wX6aWncb",0,2,NA,0,0.94,1
11,0.950300587913485,1,5,1,34,"1;2","wX6aWncb",0,2,NA,0,0.94,1
12,0.5,1,3,1,37,"1;2","wX6aWncb",0,2,NA,0,0.94,1
13,0.525742590949609,1,2,1,39,"1;2","wX6aWncb",0,2,NA,0,0.94,1
14,0.903388399704398,1,4,1,43,"1;2","wX6aWncb",0,2,NA,0,0.94,1
15,0.829936926509655,1,1,1,44,"1;2","wX6aWncb",0,2,NA,0,0.94,1
16,0.971650589702904,1,2,1,46,"1;2","wX6aWncb",0,2,NA,0,0.94,1
17,0.663517559373443,1,7,1,53,"1;2","wX6aWncb",0,2,NA,0,0.94,1
18,1.07517910635896,1,3,1,56,"1;2","wX6aWncb",0,2,NA,0,0.94,1
19,0.615191584804028,1,4,1,60,"1;2","wX6aWncb",0,2,NA,0,0.94,1
20,0.595521292553059,2,2,1,62,"1;2","wX6aWncb",0,2,NA,0,0.94,1
1,0.5,2,5,2,5,"2;1","wX6aWncb",0,2,NA,0,0.94,1
2,0.768383540900641,2,1,2,6,"2;1","wX6aWncb",0,2,NA,0,0.94,1
3,0.902546800706246,2,-1,2,5,"2;1","wX6aWncb",0,2,NA,0,0.94,1
4,0.913962291172629,2,5,2,10,"2;1","wX6aWncb",0,2,NA,0,0.94,1
5,0.665701588653181,2,6,2,16,"2;1","wX6aWncb",0,2,NA,0,0.94,1
6,0.765247095792768,2,7,2,23,"2;1","wX6aWncb",0,2,NA,0,0.94,1
7,1.31970342190504,2,4,2,27,"2;1","wX6aWncb",0,2,NA,0,0.94,1
8,1.16835982748597,2,6,2,33,"2;1","wX6aWncb",0,2,NA,0,0.94,1
9,1.20701364017533,2,4,2,37,"2;1","wX6aWncb",0,2,NA,0,0.94,1
10,0.974486157956844,2,5,2,42,"2;1","wX6aWncb",0,2,NA,0,0.94,1
11,0.5,2,3,2,45,"2;1","wX6aWncb",0,2,NA,0,0.94,1
12,1.01874491731903,2,2,2,47,"2;1","wX6aWncb",0,2,NA,0,0.94,1
13,0.602278123332095,1,6,2,53,"2;1","wX6aWncb",0,2,NA,0,0.94,1
14,0.914427106004815,2,5,2,58,"2;1","wX6aWncb",0,2,NA,0,0.94,1
15,0.784676129286841,1,-4,2,54,"2;1","wX6aWncb",0,2,NA,0,0.94,1
