"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.51823977958368,1,4,1,4,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
2,1.10724488616622,1,2,1,6,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
3,0.629063581234922,1,4,1,10,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
4,1.32725891048986,1,4,1,14,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
5,1.01361840423148,1,6,1,20,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
6,0.593074050778537,1,4,1,24,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
7,1.05917583046485,1,4,1,28,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
8,0.5,1,2,1,30,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
9,1.03361696470933,1,4,1,34,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
10,0.999599506378523,1,3,1,37,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
11,0.677279040462655,1,6,1,43,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
12,0.969879208997309,1,1,1,44,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
13,0.931455345717739,1,3,1,47,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
14,0.996049065488817,1,4,1,51,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
15,0.865740350124641,1,3,1,54,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
16,0.702380622732331,1,4,1,58,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
17,1.08979401589738,1,3,1,61,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
18,0.616297887063948,1,3,1,64,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
19,0.626717300064041,2,3,1,67,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
20,0.633217199127031,1,2,1,69,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
1,1.0796092997126,1,0,2,0,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
2,0.5,1,3,2,3,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
3,0.527311993987237,2,2,2,5,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
4,0.663963626510891,1,19,2,24,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
5,0.756625771411436,1,18,2,42,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
6,0.5,2,7,2,49,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
7,0.820703474824597,1,17,2,66,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
8,0.719003951050102,2,4,2,70,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
9,0.906080954259876,2,2,2,72,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
10,0.534175032110192,1,22,2,94,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
11,0.880132367844977,1,10,2,104,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
12,0.896771428081055,1,-1,2,103,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
13,0.730184404083969,1,-15,2,88,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
14,0.5,2,3,2,91,"2;1","wdKYLUb4",0,1,NA,0,1.11,2
