"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.52445853257733,1,5,1,5,"2;1","xt7FHKl1",100,6,5,1,1,1
2,0.778683379580592,1,5,1,10,"2;1","xt7FHKl1",100,6,5,1,1,1
3,0.937707762050553,1,2,1,12,"2;1","xt7FHKl1",100,6,5,1,1,1
4,0.53124825066949,1,1,1,13,"2;1","xt7FHKl1",100,6,5,1,1,1
5,0.57444305748378,1,4,1,17,"2;1","xt7FHKl1",100,6,5,1,1,1
6,0.875981935227679,1,0,1,17,"2;1","xt7FHKl1",100,6,5,1,1,1
7,0.5,2,1,1,18,"2;1","xt7FHKl1",100,6,5,1,1,1
8,0.728677352965958,1,1,1,19,"2;1","xt7FHKl1",100,6,5,1,1,1
9,0.59336915731376,1,6,1,25,"2;1","xt7FHKl1",100,6,5,1,1,1
10,0.668671889617703,2,4,1,29,"2;1","xt7FHKl1",100,6,5,1,1,1
11,0.868981344110151,1,3,1,32,"2;1","xt7FHKl1",100,6,5,1,1,1
12,0.670344710963941,1,5,1,37,"2;1","xt7FHKl1",100,6,5,1,1,1
13,0.5,1,2,1,39,"2;1","xt7FHKl1",100,6,5,1,1,1
14,0.797613872763612,2,0,1,39,"2;1","xt7FHKl1",100,6,5,1,1,1
15,0.756008884996556,2,2,1,41,"2;1","xt7FHKl1",100,6,5,1,1,1
16,0.805138176902188,1,1,1,42,"2;1","xt7FHKl1",100,6,5,1,1,1
17,0.854260851794023,1,0,1,42,"2;1","xt7FHKl1",100,6,5,1,1,1
18,0.751323748487501,2,5,1,47,"2;1","xt7FHKl1",100,6,5,1,1,1
19,0.94376579061262,1,1,1,48,"2;1","xt7FHKl1",100,6,5,1,1,1
20,0.5,2,3,1,51,"2;1","xt7FHKl1",100,6,5,1,1,1
1,0.515139019240144,1,5,2,5,"1;2","xt7FHKl1",100,6,5,1,1,1
2,1.51041080601936,1,0,2,5,"1;2","xt7FHKl1",100,6,5,1,1,1
3,0.6686403654503,1,0,2,5,"1;2","xt7FHKl1",100,6,5,1,1,1
4,0.621130846104232,1,6,2,11,"1;2","xt7FHKl1",100,6,5,1,1,1
5,0.929667968797706,2,-2,2,9,"1;2","xt7FHKl1",100,6,5,1,1,1
6,0.687980555144691,1,3,2,12,"1;2","xt7FHKl1",100,6,5,1,1,1
7,0.795884921061831,1,2,2,14,"1;2","xt7FHKl1",100,6,5,1,1,1
8,1.03150943124651,2,6,2,20,"1;2","xt7FHKl1",100,6,5,1,1,1
9,0.851045031651553,2,-9,2,11,"1;2","xt7FHKl1",100,6,5,1,1,1
10,0.583202711233826,1,-1,2,10,"1;2","xt7FHKl1",100,6,5,1,1,1
11,1.38560478422512,2,19,2,29,"1;2","xt7FHKl1",100,6,5,1,1,1
12,0.976759557194256,1,1,2,30,"1;2","xt7FHKl1",100,6,5,1,1,1
13,0.505564802847712,1,1,2,31,"1;2","xt7FHKl1",100,6,5,1,1,1
14,0.5,2,9,2,40,"1;2","xt7FHKl1",100,6,5,1,1,1
15,0.5,1,-3,2,37,"1;2","xt7FHKl1",100,6,5,1,1,1
16,0.593194493335053,2,-5,2,32,"1;2","xt7FHKl1",100,6,5,1,1,1
17,1.01796827365403,2,3,2,35,"1;2","xt7FHKl1",100,6,5,1,1,1
18,1.08349998407168,2,10,2,45,"1;2","xt7FHKl1",100,6,5,1,1,1
19,0.501240558102182,1,6,2,51,"1;2","xt7FHKl1",100,6,5,1,1,1
20,0.5,1,2,2,53,"1;2","xt7FHKl1",100,6,5,1,1,1
21,0.650328301764932,1,4,2,57,"1;2","xt7FHKl1",100,6,5,1,1,1
22,0.918356540963583,2,-15,2,42,"1;2","xt7FHKl1",100,6,5,1,1,1
23,1.02838004706672,2,3,2,45,"1;2","xt7FHKl1",100,6,5,1,1,1
24,1.10155583386431,1,3,2,48,"1;2","xt7FHKl1",100,6,5,1,1,1
25,0.5,2,-9,2,39,"1;2","xt7FHKl1",100,6,5,1,1,1
1,1.10766868776752,2,11,3,11,"1;2","xt7FHKl1",100,6,5,1,1,1
2,0.848464379728226,1,0,3,11,"1;2","xt7FHKl1",100,6,5,1,1,1
3,0.701361189912216,1,0,3,11,"1;2","xt7FHKl1",100,6,5,1,1,1
4,0.5,2,4,3,15,"1;2","xt7FHKl1",100,6,5,1,1,1
5,0.959303089819983,2,6,3,21,"1;2","xt7FHKl1",100,6,5,1,1,1
6,0.5,2,0,3,21,"1;2","xt7FHKl1",100,6,5,1,1,1
7,1.01093408834977,2,4,3,25,"1;2","xt7FHKl1",100,6,5,1,1,1
8,0.713215313697528,2,3,3,28,"1;2","xt7FHKl1",100,6,5,1,1,1
9,0.757634698163697,2,11,3,39,"1;2","xt7FHKl1",100,6,5,1,1,1
10,0.824727443370547,2,8,3,47,"1;2","xt7FHKl1",100,6,5,1,1,1
11,0.738514335088179,2,3,3,50,"1;2","xt7FHKl1",100,6,5,1,1,1
12,0.592885849437553,1,5,3,55,"1;2","xt7FHKl1",100,6,5,1,1,1
13,1.1042673622944,2,-8,3,47,"1;2","xt7FHKl1",100,6,5,1,1,1
14,0.673282210670507,2,3,3,50,"1;2","xt7FHKl1",100,6,5,1,1,1
15,0.564028986676127,2,5,3,55,"1;2","xt7FHKl1",100,6,5,1,1,1
16,0.814230099256214,1,3,3,58,"1;2","xt7FHKl1",100,6,5,1,1,1
17,0.893459779653079,2,8,3,66,"1;2","xt7FHKl1",100,6,5,1,1,1
18,0.793313690204678,1,-2,3,64,"1;2","xt7FHKl1",100,6,5,1,1,1
19,0.584799314765846,1,5,3,69,"1;2","xt7FHKl1",100,6,5,1,1,1
20,0.76736608168843,2,26,3,95,"1;2","xt7FHKl1",100,6,5,1,1,1
21,0.625146733705134,2,-5,3,90,"1;2","xt7FHKl1",100,6,5,1,1,1
22,0.5,2,-9,3,81,"1;2","xt7FHKl1",100,6,5,1,1,1
23,0.687881772360026,2,11,3,92,"1;2","xt7FHKl1",100,6,5,1,1,1
24,0.906017171196357,2,10,3,102,"1;2","xt7FHKl1",100,6,5,1,1,1
25,0.638577683342178,2,-1,3,101,"1;2","xt7FHKl1",100,6,5,1,1,1
1,0.781254950990759,1,14,4,14,"2;1","xt7FHKl1",100,6,5,1,1,1
2,0.749044499372495,1,-5,4,9,"2;1","xt7FHKl1",100,6,5,1,1,1
3,0.671896740055177,1,5,4,14,"2;1","xt7FHKl1",100,6,5,1,1,1
4,0.800611630017321,1,-8,4,6,"2;1","xt7FHKl1",100,6,5,1,1,1
5,1.00634806313289,1,-14,4,-8,"2;1","xt7FHKl1",100,6,5,1,1,1
6,0.712039955388291,1,3,4,-5,"2;1","xt7FHKl1",100,6,5,1,1,1
7,0.923330483069807,1,23,4,18,"2;1","xt7FHKl1",100,6,5,1,1,1
8,0.565733623464459,1,10,4,28,"2;1","xt7FHKl1",100,6,5,1,1,1
9,0.5,2,6,4,34,"2;1","xt7FHKl1",100,6,5,1,1,1
10,0.985537282515115,1,-5,4,29,"2;1","xt7FHKl1",100,6,5,1,1,1
11,0.5,1,-13,4,16,"2;1","xt7FHKl1",100,6,5,1,1,1
12,1.11629836429363,1,0,4,16,"2;1","xt7FHKl1",100,6,5,1,1,1
13,0.664120079787955,2,0,4,16,"2;1","xt7FHKl1",100,6,5,1,1,1
14,1.064741819347,1,8,4,24,"2;1","xt7FHKl1",100,6,5,1,1,1
15,1.02096225213466,1,11,4,35,"2;1","xt7FHKl1",100,6,5,1,1,1
16,0.531109813077719,1,12,4,47,"2;1","xt7FHKl1",100,6,5,1,1,1
17,0.832899396726878,2,2,4,49,"2;1","xt7FHKl1",100,6,5,1,1,1
18,0.913775718037972,1,-1,4,48,"2;1","xt7FHKl1",100,6,5,1,1,1
19,0.627317621400573,2,4,4,52,"2;1","xt7FHKl1",100,6,5,1,1,1
20,0.595158311812047,2,2,4,54,"2;1","xt7FHKl1",100,6,5,1,1,1
21,0.916163194174717,2,8,4,62,"2;1","xt7FHKl1",100,6,5,1,1,1
22,1.0607076777444,1,-1,4,61,"2;1","xt7FHKl1",100,6,5,1,1,1
23,0.5,2,3,4,64,"2;1","xt7FHKl1",100,6,5,1,1,1
24,0.706261602909442,2,4,4,68,"2;1","xt7FHKl1",100,6,5,1,1,1
25,0.880810362418953,2,3,4,71,"2;1","xt7FHKl1",100,6,5,1,1,1
1,1.137411928551,2,4,5,4,"2;1","xt7FHKl1",100,6,5,1,1,1
2,0.5,1,-19,5,-15,"2;1","xt7FHKl1",100,6,5,1,1,1
3,0.5,2,3,5,-12,"2;1","xt7FHKl1",100,6,5,1,1,1
4,0.707332226823927,1,12,5,0,"2;1","xt7FHKl1",100,6,5,1,1,1
5,0.586527464433458,2,3,5,3,"2;1","xt7FHKl1",100,6,5,1,1,1
6,0.793824222499962,2,2,5,5,"2;1","xt7FHKl1",100,6,5,1,1,1
7,0.850930873321884,1,18,5,23,"2;1","xt7FHKl1",100,6,5,1,1,1
8,0.57472037591024,2,8,5,31,"2;1","xt7FHKl1",100,6,5,1,1,1
9,0.5,1,-6,5,25,"2;1","xt7FHKl1",100,6,5,1,1,1
10,0.563151872492186,1,-7,5,18,"2;1","xt7FHKl1",100,6,5,1,1,1
11,1.22869422345033,1,3,5,21,"2;1","xt7FHKl1",100,6,5,1,1,1
12,0.668387492648124,1,4,5,25,"2;1","xt7FHKl1",100,6,5,1,1,1
13,0.581175420645497,2,1,5,26,"2;1","xt7FHKl1",100,6,5,1,1,1
14,0.762000108304356,1,-7,5,19,"2;1","xt7FHKl1",100,6,5,1,1,1
15,0.537120908029549,1,-2,5,17,"2;1","xt7FHKl1",100,6,5,1,1,1
16,0.837782504049785,1,10,5,27,"2;1","xt7FHKl1",100,6,5,1,1,1
17,1.00368501247088,2,3,5,30,"2;1","xt7FHKl1",100,6,5,1,1,1
18,0.888018360402874,1,8,5,38,"2;1","xt7FHKl1",100,6,5,1,1,1
19,0.817388300427159,1,3,5,41,"2;1","xt7FHKl1",100,6,5,1,1,1
20,1.018207467267,1,4,5,45,"2;1","xt7FHKl1",100,6,5,1,1,1
21,0.5,1,3,5,48,"2;1","xt7FHKl1",100,6,5,1,1,1
22,0.914883610609392,1,17,5,65,"2;1","xt7FHKl1",100,6,5,1,1,1
23,1.1307455569883,1,4,5,69,"2;1","xt7FHKl1",100,6,5,1,1,1
24,1.11298041588445,1,-4,5,65,"2;1","xt7FHKl1",100,6,5,1,1,1
25,1.07222239211755,1,0,5,65,"2;1","xt7FHKl1",100,6,5,1,1,1
1,0.809607127959897,2,2,6,2,"2;1","xt7FHKl1",100,6,5,1,1,1
2,0.719471685363808,2,1,6,3,"2;1","xt7FHKl1",100,6,5,1,1,1
3,1.0351630587163,1,5,6,8,"2;1","xt7FHKl1",100,6,5,1,1,1
4,1.0625485141845,2,-1,6,7,"2;1","xt7FHKl1",100,6,5,1,1,1
5,0.5,1,-18,6,-11,"2;1","xt7FHKl1",100,6,5,1,1,1
6,0.5,1,21,6,10,"2;1","xt7FHKl1",100,6,5,1,1,1
7,0.5,1,-1,6,9,"2;1","xt7FHKl1",100,6,5,1,1,1
8,0.5,1,31,6,40,"2;1","xt7FHKl1",100,6,5,1,1,1
9,0.618647352362658,1,-3,6,37,"2;1","xt7FHKl1",100,6,5,1,1,1
10,0.954874625731084,1,6,6,43,"2;1","xt7FHKl1",100,6,5,1,1,1
11,1.05900132114183,1,-8,6,35,"2;1","xt7FHKl1",100,6,5,1,1,1
12,0.827958295657429,1,25,6,60,"2;1","xt7FHKl1",100,6,5,1,1,1
13,0.678434065941383,2,0,6,60,"2;1","xt7FHKl1",100,6,5,1,1,1
14,0.969668878312403,2,1,6,61,"2;1","xt7FHKl1",100,6,5,1,1,1
15,0.80807209957011,2,-1,6,60,"2;1","xt7FHKl1",100,6,5,1,1,1
16,0.546548870137546,2,4,6,64,"2;1","xt7FHKl1",100,6,5,1,1,1
17,0.882566343357748,1,19,6,83,"2;1","xt7FHKl1",100,6,5,1,1,1
18,0.5,1,-5,6,78,"2;1","xt7FHKl1",100,6,5,1,1,1
19,0.863990149398107,1,29,6,107,"2;1","xt7FHKl1",100,6,5,1,1,1
20,0.715727966963471,1,13,6,120,"2;1","xt7FHKl1",100,6,5,1,1,1
21,0.915471789204468,2,4,6,124,"2;1","xt7FHKl1",100,6,5,1,1,1
22,0.634861583796784,2,-1,6,123,"2;1","xt7FHKl1",100,6,5,1,1,1
23,0.5,1,20,6,143,"2;1","xt7FHKl1",100,6,5,1,1,1
24,0.552307040520396,2,6,6,149,"2;1","xt7FHKl1",100,6,5,1,1,1
25,1.00877546125143,2,0,6,149,"2;1","xt7FHKl1",100,6,5,1,1,1
1,0.786355474270327,1,19,7,19,"2;1","xt7FHKl1",100,6,5,1,1,1
2,1.00826496845256,2,3,7,22,"2;1","xt7FHKl1",100,6,5,1,1,1
3,0.760656923115759,2,-1,7,21,"2;1","xt7FHKl1",100,6,5,1,1,1
4,1.15654928950338,1,-5,7,16,"2;1","xt7FHKl1",100,6,5,1,1,1
5,1.09469050392949,2,2,7,18,"2;1","xt7FHKl1",100,6,5,1,1,1
