"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.738521544345202,1,4,1,4,"2;1","y2EUaqne",0,3,NA,0,0.59,2
2,0.521390034059882,1,4,1,8,"2;1","y2EUaqne",0,3,NA,0,0.59,2
3,0.720816402233945,1,6,1,14,"2;1","y2EUaqne",0,3,NA,0,0.59,2
4,0.53841385594602,1,5,1,19,"2;1","y2EUaqne",0,3,NA,0,0.59,2
5,0.5,1,2,1,21,"2;1","y2EUaqne",0,3,NA,0,0.59,2
6,0.5,1,1,1,22,"2;1","y2EUaqne",0,3,NA,0,0.59,2
7,0.830275192161129,1,-2,1,20,"2;1","y2EUaqne",0,3,NA,0,0.59,2
8,0.942199523157366,1,4,1,24,"2;1","y2EUaqne",0,3,NA,0,0.59,2
9,1.1070363571478,2,2,1,26,"2;1","y2EUaqne",0,3,NA,0,0.59,2
10,1.09258934824491,1,0,1,26,"2;1","y2EUaqne",0,3,NA,0,0.59,2
11,1.15986166954617,2,4,1,30,"2;1","y2EUaqne",0,3,NA,0,0.59,2
12,0.733140848870011,2,1,1,31,"2;1","y2EUaqne",0,3,NA,0,0.59,2
13,0.558860767072248,2,4,1,35,"2;1","y2EUaqne",0,3,NA,0,0.59,2
14,0.5,2,1,1,36,"2;1","y2EUaqne",0,3,NA,0,0.59,2
15,1.06702648753797,2,5,1,41,"2;1","y2EUaqne",0,3,NA,0,0.59,2
16,0.790501200341133,2,2,1,43,"2;1","y2EUaqne",0,3,NA,0,0.59,2
17,0.984410733703259,1,4,1,47,"2;1","y2EUaqne",0,3,NA,0,0.59,2
18,0.600597553236094,2,4,1,51,"2;1","y2EUaqne",0,3,NA,0,0.59,2
19,1.10799573174376,2,3,1,54,"2;1","y2EUaqne",0,3,NA,0,0.59,2
20,0.5,2,6,1,60,"2;1","y2EUaqne",0,3,NA,0,0.59,2
1,0.887159539787226,2,1,2,1,"2;1","y2EUaqne",0,3,NA,0,0.59,2
2,1.15764668038137,2,2,2,3,"2;1","y2EUaqne",0,3,NA,0,0.59,2
3,1.06965535212667,2,0,2,3,"2;1","y2EUaqne",0,3,NA,0,0.59,2
4,0.678198747040914,2,3,2,6,"2;1","y2EUaqne",0,3,NA,0,0.59,2
5,1.06974834263002,1,-3,2,3,"2;1","y2EUaqne",0,3,NA,0,0.59,2
6,1.2570115316595,2,-1,2,2,"2;1","y2EUaqne",0,3,NA,0,0.59,2
7,1.27592597497885,2,10,2,12,"2;1","y2EUaqne",0,3,NA,0,0.59,2
8,0.699340772369315,1,2,2,14,"2;1","y2EUaqne",0,3,NA,0,0.59,2
9,0.511081549348231,2,3,2,17,"2;1","y2EUaqne",0,3,NA,0,0.59,2
10,0.834827623491408,2,5,2,22,"2;1","y2EUaqne",0,3,NA,0,0.59,2
11,0.754562067775331,2,2,2,24,"2;1","y2EUaqne",0,3,NA,0,0.59,2
12,0.874846814787573,2,3,2,27,"2;1","y2EUaqne",0,3,NA,0,0.59,2
13,0.5,2,1,2,28,"2;1","y2EUaqne",0,3,NA,0,0.59,2
14,0.708822577824464,2,1,2,29,"2;1","y2EUaqne",0,3,NA,0,0.59,2
15,0.519228538751968,2,2,2,31,"2;1","y2EUaqne",0,3,NA,0,0.59,2
16,0.525953635289393,2,3,2,34,"2;1","y2EUaqne",0,3,NA,0,0.59,2
17,1.20573881738631,2,3,2,37,"2;1","y2EUaqne",0,3,NA,0,0.59,2
18,0.639199843992617,2,4,2,41,"2;1","y2EUaqne",0,3,NA,0,0.59,2
19,0.949606246684397,1,6,2,47,"2;1","y2EUaqne",0,3,NA,0,0.59,2
20,0.571268024976485,2,6,2,53,"2;1","y2EUaqne",0,3,NA,0,0.59,2
21,0.690059498802384,2,6,2,59,"2;1","y2EUaqne",0,3,NA,0,0.59,2
22,1.07266497356318,2,5,2,64,"2;1","y2EUaqne",0,3,NA,0,0.59,2
23,0.522346405661981,1,-18,2,46,"2;1","y2EUaqne",0,3,NA,0,0.59,2
24,0.664681381034818,2,5,2,51,"2;1","y2EUaqne",0,3,NA,0,0.59,2
25,0.5,2,2,2,53,"2;1","y2EUaqne",0,3,NA,0,0.59,2
1,1.09984216734037,2,7,3,7,"1;2","y2EUaqne",0,3,NA,0,0.59,2
2,0.791803957299082,2,2,3,9,"1;2","y2EUaqne",0,3,NA,0,0.59,2
3,0.872800537303246,2,21,3,30,"1;2","y2EUaqne",0,3,NA,0,0.59,2
4,0.847519648427562,2,2,3,32,"1;2","y2EUaqne",0,3,NA,0,0.59,2
5,0.5,2,6,3,38,"1;2","y2EUaqne",0,3,NA,0,0.59,2
6,0.5,2,9,3,47,"1;2","y2EUaqne",0,3,NA,0,0.59,2
7,0.5,1,1,3,48,"1;2","y2EUaqne",0,3,NA,0,0.59,2
8,0.547203404501597,2,-5,3,43,"1;2","y2EUaqne",0,3,NA,0,0.59,2
9,0.629947467176403,2,-3,3,40,"1;2","y2EUaqne",0,3,NA,0,0.59,2
10,1.10103666443759,1,1,3,41,"1;2","y2EUaqne",0,3,NA,0,0.59,2
11,0.826201812446593,1,2,3,43,"1;2","y2EUaqne",0,3,NA,0,0.59,2
12,0.5,1,2,3,45,"1;2","y2EUaqne",0,3,NA,0,0.59,2
13,0.5,1,7,3,52,"1;2","y2EUaqne",0,3,NA,0,0.59,2
14,0.935289569994308,1,3,3,55,"1;2","y2EUaqne",0,3,NA,0,0.59,2
15,1.43439951425049,1,-2,3,53,"1;2","y2EUaqne",0,3,NA,0,0.59,2
16,0.5,1,-1,3,52,"1;2","y2EUaqne",0,3,NA,0,0.59,2
17,1.09077006423821,1,2,3,54,"1;2","y2EUaqne",0,3,NA,0,0.59,2
