"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.15174111135386,2,3,1,3,"1;2","yiFTe49W",100,6,4,0,0.8,1
2,0.624933757275482,1,3,1,6,"1;2","yiFTe49W",100,6,4,0,0.8,1
3,0.531465550648499,2,7,1,13,"1;2","yiFTe49W",100,6,4,0,0.8,1
4,0.758650042287197,2,1,1,14,"1;2","yiFTe49W",100,6,4,0,0.8,1
5,0.677966673301303,2,0,1,14,"1;2","yiFTe49W",100,6,4,0,0.8,1
6,0.566341901697293,2,3,1,17,"1;2","yiFTe49W",100,6,4,0,0.8,1
7,1.10489796371063,2,5,1,22,"1;2","yiFTe49W",100,6,4,0,0.8,1
8,0.5,2,2,1,24,"1;2","yiFTe49W",100,6,4,0,0.8,1
9,1.01001611551826,2,2,1,26,"1;2","yiFTe49W",100,6,4,0,0.8,1
10,1.05689310120554,2,4,1,30,"1;2","yiFTe49W",100,6,4,0,0.8,1
11,0.866240342673568,2,4,1,34,"1;2","yiFTe49W",100,6,4,0,0.8,1
12,0.893074031372773,2,6,1,40,"1;2","yiFTe49W",100,6,4,0,0.8,1
13,0.966342832044219,2,5,1,45,"1;2","yiFTe49W",100,6,4,0,0.8,1
14,0.574828887640715,1,0,1,45,"1;2","yiFTe49W",100,6,4,0,0.8,1
15,0.835538052322065,2,2,1,47,"1;2","yiFTe49W",100,6,4,0,0.8,1
16,0.5,2,2,1,49,"1;2","yiFTe49W",100,6,4,0,0.8,1
17,0.922398774894478,2,-1,1,48,"1;2","yiFTe49W",100,6,4,0,0.8,1
18,1.15895151984315,1,6,1,54,"1;2","yiFTe49W",100,6,4,0,0.8,1
19,0.647933322419967,1,3,1,57,"1;2","yiFTe49W",100,6,4,0,0.8,1
20,0.593033841630327,2,3,1,60,"1;2","yiFTe49W",100,6,4,0,0.8,1
1,0.5,2,12,2,12,"1;2","yiFTe49W",100,6,4,0,0.8,1
2,0.835807407770224,2,-5,2,7,"1;2","yiFTe49W",100,6,4,0,0.8,1
3,1.05923978870032,2,-9,2,-2,"1;2","yiFTe49W",100,6,4,0,0.8,1
4,1.19805397433559,2,14,2,12,"1;2","yiFTe49W",100,6,4,0,0.8,1
5,0.706825412412881,2,-11,2,1,"1;2","yiFTe49W",100,6,4,0,0.8,1
6,0.961588093115319,1,2,2,3,"1;2","yiFTe49W",100,6,4,0,0.8,1
7,1.06322493324838,2,-10,2,-7,"1;2","yiFTe49W",100,6,4,0,0.8,1
8,0.579184489547884,2,4,2,-3,"1;2","yiFTe49W",100,6,4,0,0.8,1
9,1.10371654794565,1,-1,2,-4,"1;2","yiFTe49W",100,6,4,0,0.8,1
10,0.5,1,-1,2,-5,"1;2","yiFTe49W",100,6,4,0,0.8,1
11,1.21701343929767,2,20,2,15,"1;2","yiFTe49W",100,6,4,0,0.8,1
12,0.682664527095273,2,-7,2,8,"1;2","yiFTe49W",100,6,4,0,0.8,1
13,1.11865577077465,2,-3,2,5,"1;2","yiFTe49W",100,6,4,0,0.8,1
14,0.991877704317324,2,2,2,7,"1;2","yiFTe49W",100,6,4,0,0.8,1
15,0.515178482284183,2,16,2,23,"1;2","yiFTe49W",100,6,4,0,0.8,1
16,0.803588436352433,2,5,2,28,"1;2","yiFTe49W",100,6,4,0,0.8,1
17,0.5,2,6,2,34,"1;2","yiFTe49W",100,6,4,0,0.8,1
18,1.23189592621419,1,2,2,36,"1;2","yiFTe49W",100,6,4,0,0.8,1
19,1.19303962309157,1,5,2,41,"1;2","yiFTe49W",100,6,4,0,0.8,1
20,0.621517767020363,2,4,2,45,"1;2","yiFTe49W",100,6,4,0,0.8,1
21,0.848261259641379,2,11,2,56,"1;2","yiFTe49W",100,6,4,0,0.8,1
22,0.731357531843331,2,14,2,70,"1;2","yiFTe49W",100,6,4,0,0.8,1
23,0.5,1,4,2,74,"1;2","yiFTe49W",100,6,4,0,0.8,1
24,0.536741582098122,1,1,2,75,"1;2","yiFTe49W",100,6,4,0,0.8,1
25,1.02018359212682,2,-5,2,70,"1;2","yiFTe49W",100,6,4,0,0.8,1
1,0.842567403423465,2,1,3,1,"2;1","yiFTe49W",100,6,4,0,0.8,1
2,0.770816948927042,1,4,3,5,"2;1","yiFTe49W",100,6,4,0,0.8,1
3,0.784520592600507,2,2,3,7,"2;1","yiFTe49W",100,6,4,0,0.8,1
4,0.674941476299757,1,-7,3,0,"2;1","yiFTe49W",100,6,4,0,0.8,1
5,0.5,1,12,3,12,"2;1","yiFTe49W",100,6,4,0,0.8,1
6,0.830399051225828,2,4,3,16,"2;1","yiFTe49W",100,6,4,0,0.8,1
7,0.953186017263118,1,8,3,24,"2;1","yiFTe49W",100,6,4,0,0.8,1
8,0.681179037330499,1,9,3,33,"2;1","yiFTe49W",100,6,4,0,0.8,1
9,1.2418027727645,2,7,3,40,"2;1","yiFTe49W",100,6,4,0,0.8,1
10,0.878279720002246,2,3,3,43,"2;1","yiFTe49W",100,6,4,0,0.8,1
11,0.507749153638297,2,2,3,45,"2;1","yiFTe49W",100,6,4,0,0.8,1
12,1.07613622774866,2,1,3,46,"2;1","yiFTe49W",100,6,4,0,0.8,1
13,0.504106749997626,1,-2,3,44,"2;1","yiFTe49W",100,6,4,0,0.8,1
14,0.647768919580352,2,6,3,50,"2;1","yiFTe49W",100,6,4,0,0.8,1
15,1.00297448791634,1,11,3,61,"2;1","yiFTe49W",100,6,4,0,0.8,1
16,0.934473634392767,1,11,3,72,"2;1","yiFTe49W",100,6,4,0,0.8,1
17,0.907890531557107,2,0,3,72,"2;1","yiFTe49W",100,6,4,0,0.8,1
18,0.5,1,18,3,90,"2;1","yiFTe49W",100,6,4,0,0.8,1
19,0.612602299183073,2,3,3,93,"2;1","yiFTe49W",100,6,4,0,0.8,1
20,0.5,2,5,3,98,"2;1","yiFTe49W",100,6,4,0,0.8,1
21,0.625285957136754,1,-1,3,97,"2;1","yiFTe49W",100,6,4,0,0.8,1
22,0.76482688368944,2,1,3,98,"2;1","yiFTe49W",100,6,4,0,0.8,1
23,0.734720337026724,2,3,3,101,"2;1","yiFTe49W",100,6,4,0,0.8,1
24,0.683014037059531,2,2,3,103,"2;1","yiFTe49W",100,6,4,0,0.8,1
25,0.5,1,26,3,129,"2;1","yiFTe49W",100,6,4,0,0.8,1
1,1.04580302190074,1,2,4,2,"1;2","yiFTe49W",100,6,4,0,0.8,1
2,0.572605782605213,1,4,4,6,"1;2","yiFTe49W",100,6,4,0,0.8,1
3,0.652301760641347,2,3,4,9,"1;2","yiFTe49W",100,6,4,0,0.8,1
4,0.887132898266077,1,-1,4,8,"1;2","yiFTe49W",100,6,4,0,0.8,1
5,1.61928565350848,1,4,4,12,"1;2","yiFTe49W",100,6,4,0,0.8,1
6,0.704654029159726,1,1,4,13,"1;2","yiFTe49W",100,6,4,0,0.8,1
7,0.922983475767269,1,0,4,13,"1;2","yiFTe49W",100,6,4,0,0.8,1
8,0.991919051149355,1,2,4,15,"1;2","yiFTe49W",100,6,4,0,0.8,1
9,1.03149897766313,1,3,4,18,"1;2","yiFTe49W",100,6,4,0,0.8,1
10,0.791274054030878,2,-4,4,14,"1;2","yiFTe49W",100,6,4,0,0.8,1
11,0.706923699896868,2,2,4,16,"1;2","yiFTe49W",100,6,4,0,0.8,1
12,0.875548514765081,2,10,4,26,"1;2","yiFTe49W",100,6,4,0,0.8,1
13,0.801756874071741,2,-5,4,21,"1;2","yiFTe49W",100,6,4,0,0.8,1
14,0.5,1,3,4,24,"1;2","yiFTe49W",100,6,4,0,0.8,1
15,0.61394525846668,2,13,4,37,"1;2","yiFTe49W",100,6,4,0,0.8,1
16,1.15316658934731,2,1,4,38,"1;2","yiFTe49W",100,6,4,0,0.8,1
17,1.20985951776494,1,1,4,39,"1;2","yiFTe49W",100,6,4,0,0.8,1
18,0.974936282998899,2,-9,4,30,"1;2","yiFTe49W",100,6,4,0,0.8,1
19,0.902716221832657,2,3,4,33,"1;2","yiFTe49W",100,6,4,0,0.8,1
20,0.971864178452574,2,5,4,38,"1;2","yiFTe49W",100,6,4,0,0.8,1
21,0.888298774304721,1,1,4,39,"1;2","yiFTe49W",100,6,4,0,0.8,1
22,0.543879475545039,2,2,4,41,"1;2","yiFTe49W",100,6,4,0,0.8,1
23,0.888049209575745,1,4,4,45,"1;2","yiFTe49W",100,6,4,0,0.8,1
24,1.11898038061103,2,13,4,58,"1;2","yiFTe49W",100,6,4,0,0.8,1
25,1.09742109355584,2,7,4,65,"1;2","yiFTe49W",100,6,4,0,0.8,1
1,0.509915922209925,2,3,5,3,"2;1","yiFTe49W",100,6,4,0,0.8,1
2,1.07124659368137,1,2,5,5,"2;1","yiFTe49W",100,6,4,0,0.8,1
3,0.836213854834726,2,3,5,8,"2;1","yiFTe49W",100,6,4,0,0.8,1
4,0.5,1,12,5,20,"2;1","yiFTe49W",100,6,4,0,0.8,1
