"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.540853689430957,2,6,1,6,"1;2","z2ezOUU6",100,5,3,0,0.6,1
2,0.976961807784206,2,3,1,9,"1;2","z2ezOUU6",100,5,3,0,0.6,1
3,0.905031971032276,1,4,1,13,"1;2","z2ezOUU6",100,5,3,0,0.6,1
4,0.583078408590186,2,7,1,20,"1;2","z2ezOUU6",100,5,3,0,0.6,1
5,1.07627098017876,1,5,1,25,"1;2","z2ezOUU6",100,5,3,0,0.6,1
6,1.0456764120279,2,2,1,27,"1;2","z2ezOUU6",100,5,3,0,0.6,1
7,0.947379327952439,2,3,1,30,"1;2","z2ezOUU6",100,5,3,0,0.6,1
8,0.68192252682441,2,4,1,34,"1;2","z2ezOUU6",100,5,3,0,0.6,1
9,0.822291799084956,2,4,1,38,"1;2","z2ezOUU6",100,5,3,0,0.6,1
10,0.747616105604513,2,6,1,44,"1;2","z2ezOUU6",100,5,3,0,0.6,1
11,0.678494644762846,2,-3,1,41,"1;2","z2ezOUU6",100,5,3,0,0.6,1
12,0.886035827192175,2,4,1,45,"1;2","z2ezOUU6",100,5,3,0,0.6,1
13,1.21325511259552,2,2,1,47,"1;2","z2ezOUU6",100,5,3,0,0.6,1
14,0.771674852726733,1,-1,1,46,"1;2","z2ezOUU6",100,5,3,0,0.6,1
15,0.711492415724801,1,3,1,49,"1;2","z2ezOUU6",100,5,3,0,0.6,1
16,0.5,2,2,1,51,"1;2","z2ezOUU6",100,5,3,0,0.6,1
17,0.545216549867986,2,5,1,56,"1;2","z2ezOUU6",100,5,3,0,0.6,1
18,0.671197252284682,2,6,1,62,"1;2","z2ezOUU6",100,5,3,0,0.6,1
19,0.714013158876486,2,3,1,65,"1;2","z2ezOUU6",100,5,3,0,0.6,1
20,0.637562894994811,2,4,1,69,"1;2","z2ezOUU6",100,5,3,0,0.6,1
1,1.04513351031886,2,3,2,3,"2;1","z2ezOUU6",100,5,3,0,0.6,1
2,1.05551632206561,2,6,2,9,"2;1","z2ezOUU6",100,5,3,0,0.6,1
3,0.774178595363855,2,6,2,15,"2;1","z2ezOUU6",100,5,3,0,0.6,1
4,1.12698071924945,2,6,2,21,"2;1","z2ezOUU6",100,5,3,0,0.6,1
5,1.07379453456522,1,15,2,36,"2;1","z2ezOUU6",100,5,3,0,0.6,1
6,0.544166365042025,2,1,2,37,"2;1","z2ezOUU6",100,5,3,0,0.6,1
7,0.737468689630223,2,8,2,45,"2;1","z2ezOUU6",100,5,3,0,0.6,1
8,0.779199337687107,1,-9,2,36,"2;1","z2ezOUU6",100,5,3,0,0.6,1
9,0.67392578490396,1,11,2,47,"2;1","z2ezOUU6",100,5,3,0,0.6,1
10,0.656102222343941,1,22,2,69,"2;1","z2ezOUU6",100,5,3,0,0.6,1
11,1.1914771706978,2,5,2,74,"2;1","z2ezOUU6",100,5,3,0,0.6,1
12,0.639749431569835,2,2,2,76,"2;1","z2ezOUU6",100,5,3,0,0.6,1
13,0.766576853884451,2,3,2,79,"2;1","z2ezOUU6",100,5,3,0,0.6,1
14,0.59318226094789,2,4,2,83,"2;1","z2ezOUU6",100,5,3,0,0.6,1
15,1.10447282687425,2,3,2,86,"2;1","z2ezOUU6",100,5,3,0,0.6,1
16,0.820320472918319,2,1,2,87,"2;1","z2ezOUU6",100,5,3,0,0.6,1
17,0.955713733585541,2,0,2,87,"2;1","z2ezOUU6",100,5,3,0,0.6,1
18,0.53221519542414,1,-20,2,67,"2;1","z2ezOUU6",100,5,3,0,0.6,1
19,0.928826354052781,1,-2,2,65,"2;1","z2ezOUU6",100,5,3,0,0.6,1
20,0.899129874046201,2,4,2,69,"2;1","z2ezOUU6",100,5,3,0,0.6,1
21,0.768647738204523,1,11,2,80,"2;1","z2ezOUU6",100,5,3,0,0.6,1
22,1.0759571970658,2,6,2,86,"2;1","z2ezOUU6",100,5,3,0,0.6,1
23,0.525373726872731,1,0,2,86,"2;1","z2ezOUU6",100,5,3,0,0.6,1
24,0.963935140159002,1,5,2,91,"2;1","z2ezOUU6",100,5,3,0,0.6,1
25,0.574339434282409,1,-3,2,88,"2;1","z2ezOUU6",100,5,3,0,0.6,1
1,0.653777287999193,2,9,3,9,"1;2","z2ezOUU6",100,5,3,0,0.6,1
2,0.945981346833712,1,2,3,11,"1;2","z2ezOUU6",100,5,3,0,0.6,1
3,0.71869588753219,2,0,3,11,"1;2","z2ezOUU6",100,5,3,0,0.6,1
4,1.00857241561826,2,-10,3,1,"1;2","z2ezOUU6",100,5,3,0,0.6,1
5,0.5,2,14,3,15,"1;2","z2ezOUU6",100,5,3,0,0.6,1
6,0.87569797383752,2,-29,3,-14,"1;2","z2ezOUU6",100,5,3,0,0.6,1
7,0.867807750230119,1,1,3,-13,"1;2","z2ezOUU6",100,5,3,0,0.6,1
8,0.628630645647518,2,-14,3,-27,"1;2","z2ezOUU6",100,5,3,0,0.6,1
9,0.885366906310468,2,20,3,-7,"1;2","z2ezOUU6",100,5,3,0,0.6,1
10,0.5,2,4,3,-3,"1;2","z2ezOUU6",100,5,3,0,0.6,1
11,0.78751148655418,2,-22,3,-25,"1;2","z2ezOUU6",100,5,3,0,0.6,1
12,0.584845636903228,1,7,3,-18,"1;2","z2ezOUU6",100,5,3,0,0.6,1
13,0.884866430480373,2,4,3,-14,"1;2","z2ezOUU6",100,5,3,0,0.6,1
14,0.701222933332074,2,-8,3,-22,"1;2","z2ezOUU6",100,5,3,0,0.6,1
15,0.541586239381633,2,23,3,1,"1;2","z2ezOUU6",100,5,3,0,0.6,1
16,0.5,2,-7,3,-6,"1;2","z2ezOUU6",100,5,3,0,0.6,1
17,0.5,2,-31,3,-37,"1;2","z2ezOUU6",100,5,3,0,0.6,1
18,1.1930349448445,1,7,3,-30,"1;2","z2ezOUU6",100,5,3,0,0.6,1
19,1.16755139425481,1,5,3,-25,"1;2","z2ezOUU6",100,5,3,0,0.6,1
20,0.734513689162732,2,27,3,2,"1;2","z2ezOUU6",100,5,3,0,0.6,1
21,0.895549529084794,2,15,3,17,"1;2","z2ezOUU6",100,5,3,0,0.6,1
22,0.848109567004559,2,10,3,27,"1;2","z2ezOUU6",100,5,3,0,0.6,1
23,0.868837595504267,2,4,3,31,"1;2","z2ezOUU6",100,5,3,0,0.6,1
24,1.16104285692341,2,6,3,37,"1;2","z2ezOUU6",100,5,3,0,0.6,1
25,1.04090067970647,1,6,3,43,"1;2","z2ezOUU6",100,5,3,0,0.6,1
1,0.737114571731139,1,1,4,1,"2;1","z2ezOUU6",100,5,3,0,0.6,1
2,0.692792995518435,1,13,4,14,"2;1","z2ezOUU6",100,5,3,0,0.6,1
3,0.702784766722231,1,-9,4,5,"2;1","z2ezOUU6",100,5,3,0,0.6,1
4,0.928001398609234,1,4,4,9,"2;1","z2ezOUU6",100,5,3,0,0.6,1
5,1.05384034972287,1,9,4,18,"2;1","z2ezOUU6",100,5,3,0,0.6,1
6,0.912617062563067,1,-4,4,14,"2;1","z2ezOUU6",100,5,3,0,0.6,1
7,0.550256958492147,1,-18,4,-4,"2;1","z2ezOUU6",100,5,3,0,0.6,1
8,0.5,1,-1,4,-5,"2;1","z2ezOUU6",100,5,3,0,0.6,1
9,0.856746068505452,1,-10,4,-15,"2;1","z2ezOUU6",100,5,3,0,0.6,1
10,0.76194882811642,1,9,4,-6,"2;1","z2ezOUU6",100,5,3,0,0.6,1
11,0.59381092589889,1,-7,4,-13,"2;1","z2ezOUU6",100,5,3,0,0.6,1
12,0.706969362748058,1,3,4,-10,"2;1","z2ezOUU6",100,5,3,0,0.6,1
13,0.737718567873235,1,16,4,6,"2;1","z2ezOUU6",100,5,3,0,0.6,1
14,0.823499242729744,1,-13,4,-7,"2;1","z2ezOUU6",100,5,3,0,0.6,1
15,0.5,1,0,4,-7,"2;1","z2ezOUU6",100,5,3,0,0.6,1
16,0.5,1,17,4,10,"2;1","z2ezOUU6",100,5,3,0,0.6,1
17,0.5,1,2,4,12,"2;1","z2ezOUU6",100,5,3,0,0.6,1
18,0.693148380636614,1,-18,4,-6,"2;1","z2ezOUU6",100,5,3,0,0.6,1
19,0.890856773555386,1,-14,4,-20,"2;1","z2ezOUU6",100,5,3,0,0.6,1
20,0.678186193453643,1,-2,4,-22,"2;1","z2ezOUU6",100,5,3,0,0.6,1
21,0.713465596353353,1,12,4,-10,"2;1","z2ezOUU6",100,5,3,0,0.6,1
22,1.21962770299827,1,21,4,11,"2;1","z2ezOUU6",100,5,3,0,0.6,1
23,0.770706492426689,1,-1,4,10,"2;1","z2ezOUU6",100,5,3,0,0.6,1
24,1.16718994530042,1,-17,4,-7,"2;1","z2ezOUU6",100,5,3,0,0.6,1
25,1.09956470485188,2,6,4,-1,"2;1","z2ezOUU6",100,5,3,0,0.6,1
1,0.564090770398858,1,-24,5,-24,"2;1","z2ezOUU6",100,5,3,0,0.6,1
2,0.936042701327465,2,3,5,-21,"2;1","z2ezOUU6",100,5,3,0,0.6,1
3,1.0893642046878,1,1,5,-20,"2;1","z2ezOUU6",100,5,3,0,0.6,1
4,1.02030288358746,1,-5,5,-25,"2;1","z2ezOUU6",100,5,3,0,0.6,1
5,0.888855498958958,2,3,5,-22,"2;1","z2ezOUU6",100,5,3,0,0.6,1
6,1.08092910249493,1,0,5,-22,"2;1","z2ezOUU6",100,5,3,0,0.6,1
7,1.15019004954178,2,4,5,-18,"2;1","z2ezOUU6",100,5,3,0,0.6,1
8,0.632344812849624,1,-3,5,-21,"2;1","z2ezOUU6",100,5,3,0,0.6,1
9,0.5,1,-2,5,-23,"2;1","z2ezOUU6",100,5,3,0,0.6,1
10,0.5,1,14,5,-9,"2;1","z2ezOUU6",100,5,3,0,0.6,1
11,1.04659947766286,1,23,5,14,"2;1","z2ezOUU6",100,5,3,0,0.6,1
12,0.778407495702911,1,1,5,15,"2;1","z2ezOUU6",100,5,3,0,0.6,1
13,1.16008753745868,1,9,5,24,"2;1","z2ezOUU6",100,5,3,0,0.6,1
14,0.5,1,3,5,27,"2;1","z2ezOUU6",100,5,3,0,0.6,1
15,1.37032420663617,2,5,5,32,"2;1","z2ezOUU6",100,5,3,0,0.6,1
16,0.637671235701956,1,18,5,50,"2;1","z2ezOUU6",100,5,3,0,0.6,1
17,1.17621105905871,1,5,5,55,"2;1","z2ezOUU6",100,5,3,0,0.6,1
18,0.620513481337176,1,24,5,79,"2;1","z2ezOUU6",100,5,3,0,0.6,1
19,0.660484439477051,1,-19,5,60,"2;1","z2ezOUU6",100,5,3,0,0.6,1
20,0.5,1,-2,5,58,"2;1","z2ezOUU6",100,5,3,0,0.6,1
21,0.566399312248015,1,2,5,60,"2;1","z2ezOUU6",100,5,3,0,0.6,1
22,1.00364576850286,1,-3,5,57,"2;1","z2ezOUU6",100,5,3,0,0.6,1
23,0.5,1,3,5,60,"2;1","z2ezOUU6",100,5,3,0,0.6,1
24,1.45206110681504,1,-17,5,43,"2;1","z2ezOUU6",100,5,3,0,0.6,1
25,0.856258004255003,2,6,5,49,"2;1","z2ezOUU6",100,5,3,0,0.6,1
1,0.904954775423557,1,5,6,5,"1;2","z2ezOUU6",100,5,3,0,0.6,1
2,0.971324085999598,1,3,6,8,"1;2","z2ezOUU6",100,5,3,0,0.6,1
3,0.877530083514646,2,9,6,17,"1;2","z2ezOUU6",100,5,3,0,0.6,1
4,0.5,1,2,6,19,"1;2","z2ezOUU6",100,5,3,0,0.6,1
5,0.796554614455434,1,3,6,22,"1;2","z2ezOUU6",100,5,3,0,0.6,1
6,0.640630783486365,1,5,6,27,"1;2","z2ezOUU6",100,5,3,0,0.6,1
7,1.10136088417988,1,0,6,27,"1;2","z2ezOUU6",100,5,3,0,0.6,1
8,0.674795797149419,1,6,6,33,"1;2","z2ezOUU6",100,5,3,0,0.6,1
9,1.17237359065535,1,-1,6,32,"1;2","z2ezOUU6",100,5,3,0,0.6,1
10,0.749794670229089,1,2,6,34,"1;2","z2ezOUU6",100,5,3,0,0.6,1
11,0.610243065410182,1,9,6,43,"1;2","z2ezOUU6",100,5,3,0,0.6,1
12,0.639923082372387,1,7,6,50,"1;2","z2ezOUU6",100,5,3,0,0.6,1
13,0.744648959712938,1,4,6,54,"1;2","z2ezOUU6",100,5,3,0,0.6,1
14,1.28376216999685,1,5,6,59,"1;2","z2ezOUU6",100,5,3,0,0.6,1
15,0.604114530319977,1,4,6,63,"1;2","z2ezOUU6",100,5,3,0,0.6,1
16,0.945584267252566,1,3,6,66,"1;2","z2ezOUU6",100,5,3,0,0.6,1
17,0.5,1,7,6,73,"1;2","z2ezOUU6",100,5,3,0,0.6,1
18,1.06352450266453,1,2,6,75,"1;2","z2ezOUU6",100,5,3,0,0.6,1
19,0.50526701871529,1,5,6,80,"1;2","z2ezOUU6",100,5,3,0,0.6,1
20,0.774440050836835,1,6,6,86,"1;2","z2ezOUU6",100,5,3,0,0.6,1
21,0.948163030923192,1,6,6,92,"1;2","z2ezOUU6",100,5,3,0,0.6,1
22,1.04857141216085,1,3,6,95,"1;2","z2ezOUU6",100,5,3,0,0.6,1
23,0.767603212507663,1,3,6,98,"1;2","z2ezOUU6",100,5,3,0,0.6,1
24,0.7649235884011,1,1,6,99,"1;2","z2ezOUU6",100,5,3,0,0.6,1
25,0.935446397801425,2,6,6,105,"1;2","z2ezOUU6",100,5,3,0,0.6,1
1,0.5,1,2,7,2,"1;2","z2ezOUU6",100,5,3,0,0.6,1
2,0.810308240252921,2,7,7,9,"1;2","z2ezOUU6",100,5,3,0,0.6,1
