"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.30389741240428,1,1,1,1,"1;2","z6LegY8W",0,1,NA,0,1.12,1
2,0.5,1,1,1,2,"1;2","z6LegY8W",0,1,NA,0,1.12,1
3,0.767514981126641,1,1,1,3,"1;2","z6LegY8W",0,1,NA,0,1.12,1
4,0.562218714983408,1,3,1,6,"1;2","z6LegY8W",0,1,NA,0,1.12,1
5,1.04553725550506,1,2,1,8,"1;2","z6LegY8W",0,1,NA,0,1.12,1
6,0.656132590095778,1,6,1,14,"1;2","z6LegY8W",0,1,NA,0,1.12,1
7,0.986277757827311,2,3,1,17,"1;2","z6LegY8W",0,1,NA,0,1.12,1
8,1.20467042888877,1,-1,1,16,"1;2","z6LegY8W",0,1,NA,0,1.12,1
9,0.966316294650298,1,5,1,21,"1;2","z6LegY8W",0,1,NA,0,1.12,1
10,1.35755982076456,1,7,1,28,"1;2","z6LegY8W",0,1,NA,0,1.12,1
11,1.11744620318623,1,2,1,30,"1;2","z6LegY8W",0,1,NA,0,1.12,1
12,0.636823762886715,2,2,1,32,"1;2","z6LegY8W",0,1,NA,0,1.12,1
13,0.907006801513692,1,1,1,33,"1;2","z6LegY8W",0,1,NA,0,1.12,1
14,1.11572859204295,1,3,1,36,"1;2","z6LegY8W",0,1,NA,0,1.12,1
15,0.5,1,0,1,36,"1;2","z6LegY8W",0,1,NA,0,1.12,1
16,0.908604375936096,1,3,1,39,"1;2","z6LegY8W",0,1,NA,0,1.12,1
17,0.742427841748655,1,6,1,45,"1;2","z6LegY8W",0,1,NA,0,1.12,1
18,0.825824082308966,2,2,1,47,"1;2","z6LegY8W",0,1,NA,0,1.12,1
19,0.5,1,7,1,54,"1;2","z6LegY8W",0,1,NA,0,1.12,1
20,0.863709811195518,1,5,1,59,"1;2","z6LegY8W",0,1,NA,0,1.12,1
1,0.906359044843649,1,4,2,4,"1;2","z6LegY8W",0,1,NA,0,1.12,1
2,0.564115190443159,1,10,2,14,"1;2","z6LegY8W",0,1,NA,0,1.12,1
3,1.17049968676136,1,1,2,15,"1;2","z6LegY8W",0,1,NA,0,1.12,1
4,0.854234338555262,1,3,2,18,"1;2","z6LegY8W",0,1,NA,0,1.12,1
5,1.1594990585091,1,3,2,21,"1;2","z6LegY8W",0,1,NA,0,1.12,1
6,1.0044493374957,1,2,2,23,"1;2","z6LegY8W",0,1,NA,0,1.12,1
7,0.742402069840142,1,7,2,30,"1;2","z6LegY8W",0,1,NA,0,1.12,1
8,0.796057717577091,1,5,2,35,"1;2","z6LegY8W",0,1,NA,0,1.12,1
9,0.5,1,7,2,42,"1;2","z6LegY8W",0,1,NA,0,1.12,1
