"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.23353610097812,1,3,1,3,"2;1","zDT42ll6",100,6,5,0,1,3
2,0.878079707776474,2,5,1,8,"2;1","zDT42ll6",100,6,5,0,1,3
3,0.671885496227229,2,2,1,10,"2;1","zDT42ll6",100,6,5,0,1,3
4,1.16624760735695,2,6,1,16,"2;1","zDT42ll6",100,6,5,0,1,3
5,0.934361382338466,2,2,1,18,"2;1","zDT42ll6",100,6,5,0,1,3
6,0.723295153612735,2,6,1,24,"2;1","zDT42ll6",100,6,5,0,1,3
7,1.10444190571835,2,1,1,25,"2;1","zDT42ll6",100,6,5,0,1,3
8,0.87234712255763,2,4,1,29,"2;1","zDT42ll6",100,6,5,0,1,3
9,0.695190212701122,2,2,1,31,"2;1","zDT42ll6",100,6,5,0,1,3
10,0.594356108009711,2,4,1,35,"2;1","zDT42ll6",100,6,5,0,1,3
11,0.651833105683126,2,3,1,38,"2;1","zDT42ll6",100,6,5,0,1,3
12,0.502167287970477,2,7,1,45,"2;1","zDT42ll6",100,6,5,0,1,3
13,0.907530133955038,2,1,1,46,"2;1","zDT42ll6",100,6,5,0,1,3
14,1.03772449201761,2,7,1,53,"2;1","zDT42ll6",100,6,5,0,1,3
15,0.5,2,1,1,54,"2;1","zDT42ll6",100,6,5,0,1,3
16,0.553444199171615,2,1,1,55,"2;1","zDT42ll6",100,6,5,0,1,3
17,0.5,2,2,1,57,"2;1","zDT42ll6",100,6,5,0,1,3
18,0.561580254172986,2,2,1,59,"2;1","zDT42ll6",100,6,5,0,1,3
19,1.16166432805309,1,4,1,63,"2;1","zDT42ll6",100,6,5,0,1,3
20,0.661072556110691,2,1,1,64,"2;1","zDT42ll6",100,6,5,0,1,3
1,0.5,1,-9,2,-9,"2;1","zDT42ll6",100,6,5,0,1,3
2,0.641224681933312,2,1,2,-8,"2;1","zDT42ll6",100,6,5,0,1,3
3,1.00012881513667,1,-10,2,-18,"2;1","zDT42ll6",100,6,5,0,1,3
4,1.10135169786228,1,0,2,-18,"2;1","zDT42ll6",100,6,5,0,1,3
5,1.15969967935199,1,-1,2,-19,"2;1","zDT42ll6",100,6,5,0,1,3
6,0.76382541573096,1,9,2,-10,"2;1","zDT42ll6",100,6,5,0,1,3
7,0.5,1,18,2,8,"2;1","zDT42ll6",100,6,5,0,1,3
8,0.5,1,2,2,10,"2;1","zDT42ll6",100,6,5,0,1,3
9,0.90575589096449,1,-10,2,0,"2;1","zDT42ll6",100,6,5,0,1,3
10,0.801694063539224,1,-2,2,-2,"2;1","zDT42ll6",100,6,5,0,1,3
11,0.5,1,-2,2,-4,"2;1","zDT42ll6",100,6,5,0,1,3
12,1.11798161949041,1,-7,2,-11,"2;1","zDT42ll6",100,6,5,0,1,3
13,1.13704147719723,1,6,2,-5,"2;1","zDT42ll6",100,6,5,0,1,3
14,0.948669712002658,1,1,2,-4,"2;1","zDT42ll6",100,6,5,0,1,3
15,0.708921183022414,1,10,2,6,"2;1","zDT42ll6",100,6,5,0,1,3
16,0.5,1,8,2,14,"2;1","zDT42ll6",100,6,5,0,1,3
17,0.757694131741103,1,6,2,20,"2;1","zDT42ll6",100,6,5,0,1,3
18,0.81072674410393,1,-10,2,10,"2;1","zDT42ll6",100,6,5,0,1,3
19,0.565096338745835,1,-6,2,4,"2;1","zDT42ll6",100,6,5,0,1,3
20,1.07172558969041,1,-7,2,-3,"2;1","zDT42ll6",100,6,5,0,1,3
21,0.972756299306082,1,13,2,10,"2;1","zDT42ll6",100,6,5,0,1,3
22,0.724149577250866,1,-1,2,9,"2;1","zDT42ll6",100,6,5,0,1,3
23,1.07874632025911,1,2,2,11,"2;1","zDT42ll6",100,6,5,0,1,3
24,0.57337968130941,1,9,2,20,"2;1","zDT42ll6",100,6,5,0,1,3
25,0.632657753030012,1,9,2,29,"2;1","zDT42ll6",100,6,5,0,1,3
1,0.828755891814802,2,5,3,5,"1;2","zDT42ll6",100,6,5,0,1,3
2,0.742152995285605,1,0,3,5,"1;2","zDT42ll6",100,6,5,0,1,3
3,1.27546845333215,1,6,3,11,"1;2","zDT42ll6",100,6,5,0,1,3
4,1.24122118797696,1,5,3,16,"1;2","zDT42ll6",100,6,5,0,1,3
5,0.933529105065742,1,2,3,18,"1;2","zDT42ll6",100,6,5,0,1,3
6,0.971945537826018,1,6,3,24,"1;2","zDT42ll6",100,6,5,0,1,3
7,0.5,1,-3,3,21,"1;2","zDT42ll6",100,6,5,0,1,3
8,0.796869651425828,1,-3,3,18,"1;2","zDT42ll6",100,6,5,0,1,3
9,0.651189152149441,1,4,3,22,"1;2","zDT42ll6",100,6,5,0,1,3
10,0.517531895300665,1,0,3,22,"1;2","zDT42ll6",100,6,5,0,1,3
11,0.5,1,3,3,25,"1;2","zDT42ll6",100,6,5,0,1,3
12,0.531951564344644,1,-1,3,24,"1;2","zDT42ll6",100,6,5,0,1,3
13,0.511249970390948,1,2,3,26,"1;2","zDT42ll6",100,6,5,0,1,3
14,0.777862604507537,1,2,3,28,"1;2","zDT42ll6",100,6,5,0,1,3
15,0.641606223557539,1,-1,3,27,"1;2","zDT42ll6",100,6,5,0,1,3
16,1.00007629467603,1,5,3,32,"1;2","zDT42ll6",100,6,5,0,1,3
17,0.5,1,-1,3,31,"1;2","zDT42ll6",100,6,5,0,1,3
18,1.1031765639895,1,6,3,37,"1;2","zDT42ll6",100,6,5,0,1,3
19,1.14053171378131,1,-1,3,36,"1;2","zDT42ll6",100,6,5,0,1,3
20,1.01587053653604,1,0,3,36,"1;2","zDT42ll6",100,6,5,0,1,3
21,0.740977035405798,2,-5,3,31,"1;2","zDT42ll6",100,6,5,0,1,3
22,0.657624052691167,2,8,3,39,"1;2","zDT42ll6",100,6,5,0,1,3
23,0.516186445652797,2,1,3,40,"1;2","zDT42ll6",100,6,5,0,1,3
24,0.5,1,2,3,42,"1;2","zDT42ll6",100,6,5,0,1,3
25,1.13352819987265,1,1,3,43,"1;2","zDT42ll6",100,6,5,0,1,3
1,0.975827454786964,2,-6,4,-6,"1;2","zDT42ll6",100,6,5,0,1,3
2,0.796674803094478,2,-2,4,-8,"1;2","zDT42ll6",100,6,5,0,1,3
3,0.800572711032296,2,9,4,1,"1;2","zDT42ll6",100,6,5,0,1,3
4,0.607045873213759,2,8,4,9,"1;2","zDT42ll6",100,6,5,0,1,3
5,0.861604780592003,2,12,4,21,"1;2","zDT42ll6",100,6,5,0,1,3
6,0.898462249779683,2,-6,4,15,"1;2","zDT42ll6",100,6,5,0,1,3
7,0.764494291520949,2,12,4,27,"1;2","zDT42ll6",100,6,5,0,1,3
8,1.19489410901143,2,-3,4,24,"1;2","zDT42ll6",100,6,5,0,1,3
9,0.637440518486713,2,6,4,30,"1;2","zDT42ll6",100,6,5,0,1,3
10,0.564601478741037,2,9,4,39,"1;2","zDT42ll6",100,6,5,0,1,3
11,0.720687525366192,2,1,4,40,"1;2","zDT42ll6",100,6,5,0,1,3
12,1.07333641556076,2,14,4,54,"1;2","zDT42ll6",100,6,5,0,1,3
13,0.892299148135239,2,28,4,82,"1;2","zDT42ll6",100,6,5,0,1,3
14,0.824677883488706,2,12,4,94,"1;2","zDT42ll6",100,6,5,0,1,3
15,0.68082262588369,2,-17,4,77,"1;2","zDT42ll6",100,6,5,0,1,3
16,0.807577189371769,2,1,4,78,"1;2","zDT42ll6",100,6,5,0,1,3
17,0.799012794175768,2,-10,4,68,"1;2","zDT42ll6",100,6,5,0,1,3
18,1.01596092534644,2,36,4,104,"1;2","zDT42ll6",100,6,5,0,1,3
19,0.561013057238855,2,3,4,107,"1;2","zDT42ll6",100,6,5,0,1,3
20,1.31906469348421,1,2,4,109,"1;2","zDT42ll6",100,6,5,0,1,3
21,0.609121292099579,1,4,4,113,"1;2","zDT42ll6",100,6,5,0,1,3
22,0.562399220464149,1,1,4,114,"1;2","zDT42ll6",100,6,5,0,1,3
23,0.744284569516876,1,4,4,118,"1;2","zDT42ll6",100,6,5,0,1,3
24,0.5,2,-9,4,109,"1;2","zDT42ll6",100,6,5,0,1,3
