"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.5,2,6,1,6,"2;1","zJHOIOub",100,4,6,0,1.2,3
2,0.796304913055853,2,5,1,11,"2;1","zJHOIOub",100,4,6,0,1.2,3
3,0.878997334930966,1,3,1,14,"2;1","zJHOIOub",100,4,6,0,1.2,3
4,0.931335516650932,2,4,1,18,"2;1","zJHOIOub",100,4,6,0,1.2,3
5,0.503889269866235,2,5,1,23,"2;1","zJHOIOub",100,4,6,0,1.2,3
6,0.822273182037091,2,5,1,28,"2;1","zJHOIOub",100,4,6,0,1.2,3
7,1.06056835994603,1,5,1,33,"2;1","zJHOIOub",100,4,6,0,1.2,3
8,1.07044440951697,1,2,1,35,"2;1","zJHOIOub",100,4,6,0,1.2,3
9,1.05623297917227,1,2,1,37,"2;1","zJHOIOub",100,4,6,0,1.2,3
10,1.07955228514181,2,4,1,41,"2;1","zJHOIOub",100,4,6,0,1.2,3
11,0.58138892998942,2,3,1,44,"2;1","zJHOIOub",100,4,6,0,1.2,3
12,0.5,2,3,1,47,"2;1","zJHOIOub",100,4,6,0,1.2,3
13,0.717402656517346,2,1,1,48,"2;1","zJHOIOub",100,4,6,0,1.2,3
14,1.25872806921071,2,4,1,52,"2;1","zJHOIOub",100,4,6,0,1.2,3
15,1.15318483661315,2,6,1,58,"2;1","zJHOIOub",100,4,6,0,1.2,3
16,0.662613357186968,1,3,1,61,"2;1","zJHOIOub",100,4,6,0,1.2,3
17,0.881493891620658,1,7,1,68,"2;1","zJHOIOub",100,4,6,0,1.2,3
18,0.657336070030793,1,4,1,72,"2;1","zJHOIOub",100,4,6,0,1.2,3
19,0.758092017771343,2,5,1,77,"2;1","zJHOIOub",100,4,6,0,1.2,3
20,0.5,2,6,1,83,"2;1","zJHOIOub",100,4,6,0,1.2,3
1,0.591902439877209,2,0,2,0,"2;1","zJHOIOub",100,4,6,0,1.2,3
2,0.872180429463385,2,7,2,7,"2;1","zJHOIOub",100,4,6,0,1.2,3
3,0.916139350332816,2,3,2,10,"2;1","zJHOIOub",100,4,6,0,1.2,3
4,1.02801420481586,1,4,2,14,"2;1","zJHOIOub",100,4,6,0,1.2,3
5,0.5,1,-18,2,-4,"2;1","zJHOIOub",100,4,6,0,1.2,3
6,0.791492108391006,1,-7,2,-11,"2;1","zJHOIOub",100,4,6,0,1.2,3
7,0.5,1,-8,2,-19,"2;1","zJHOIOub",100,4,6,0,1.2,3
8,0.864276753163864,1,13,2,-6,"2;1","zJHOIOub",100,4,6,0,1.2,3
9,0.548870183700794,2,0,2,-6,"2;1","zJHOIOub",100,4,6,0,1.2,3
10,0.829650713110528,2,8,2,2,"2;1","zJHOIOub",100,4,6,0,1.2,3
11,0.834331250066236,1,6,2,8,"2;1","zJHOIOub",100,4,6,0,1.2,3
12,0.763547996568782,2,3,2,11,"2;1","zJHOIOub",100,4,6,0,1.2,3
13,0.844913308747268,1,9,2,20,"2;1","zJHOIOub",100,4,6,0,1.2,3
14,0.830791771010258,1,18,2,38,"2;1","zJHOIOub",100,4,6,0,1.2,3
15,0.63568284400638,1,-15,2,23,"2;1","zJHOIOub",100,4,6,0,1.2,3
16,0.72457828619064,1,12,2,35,"2;1","zJHOIOub",100,4,6,0,1.2,3
17,0.5,1,-12,2,23,"2;1","zJHOIOub",100,4,6,0,1.2,3
18,1.02576916688442,1,13,2,36,"2;1","zJHOIOub",100,4,6,0,1.2,3
19,0.720180972776025,1,14,2,50,"2;1","zJHOIOub",100,4,6,0,1.2,3
20,0.947770193441313,2,2,2,52,"2;1","zJHOIOub",100,4,6,0,1.2,3
21,0.667285097868089,2,5,2,57,"2;1","zJHOIOub",100,4,6,0,1.2,3
22,0.828609457813473,1,-15,2,42,"2;1","zJHOIOub",100,4,6,0,1.2,3
23,0.784872192182341,1,-25,2,17,"2;1","zJHOIOub",100,4,6,0,1.2,3
24,0.556257712782139,1,13,2,30,"2;1","zJHOIOub",100,4,6,0,1.2,3
25,0.98884424766153,1,-17,2,13,"2;1","zJHOIOub",100,4,6,0,1.2,3
1,0.68103681721643,1,8,3,8,"1;2","zJHOIOub",100,4,6,0,1.2,3
2,0.554026300709787,1,6,3,14,"1;2","zJHOIOub",100,4,6,0,1.2,3
3,0.845790157063662,1,6,3,20,"1;2","zJHOIOub",100,4,6,0,1.2,3
4,0.695132371708897,1,8,3,28,"1;2","zJHOIOub",100,4,6,0,1.2,3
5,0.92670878193069,1,5,3,33,"1;2","zJHOIOub",100,4,6,0,1.2,3
6,0.848407057579344,1,5,3,38,"1;2","zJHOIOub",100,4,6,0,1.2,3
7,0.804116395719269,1,4,3,42,"1;2","zJHOIOub",100,4,6,0,1.2,3
8,0.615188884511913,1,3,3,45,"1;2","zJHOIOub",100,4,6,0,1.2,3
9,0.804139114082755,1,1,3,46,"1;2","zJHOIOub",100,4,6,0,1.2,3
10,0.944709226956716,2,6,3,52,"1;2","zJHOIOub",100,4,6,0,1.2,3
11,0.583188245158388,2,7,3,59,"1;2","zJHOIOub",100,4,6,0,1.2,3
