"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.807415345277153,1,4,1,4,"1;2","zRwEzr3d",100,5,4,0,0.8,1
2,0.758330287438744,2,3,1,7,"1;2","zRwEzr3d",100,5,4,0,0.8,1
3,0.5,2,3,1,10,"1;2","zRwEzr3d",100,5,4,0,0.8,1
4,0.5,1,3,1,13,"1;2","zRwEzr3d",100,5,4,0,0.8,1
5,0.825345627044444,2,6,1,19,"1;2","zRwEzr3d",100,5,4,0,0.8,1
6,0.5,2,4,1,23,"1;2","zRwEzr3d",100,5,4,0,0.8,1
7,0.827060483309656,2,4,1,27,"1;2","zRwEzr3d",100,5,4,0,0.8,1
8,0.748487151661887,2,4,1,31,"1;2","zRwEzr3d",100,5,4,0,0.8,1
9,0.87927286729922,2,0,1,31,"1;2","zRwEzr3d",100,5,4,0,0.8,1
10,0.5,1,2,1,33,"1;2","zRwEzr3d",100,5,4,0,0.8,1
11,0.5,2,1,1,34,"1;2","zRwEzr3d",100,5,4,0,0.8,1
12,0.733695428142154,2,2,1,36,"1;2","zRwEzr3d",100,5,4,0,0.8,1
13,0.565260749449033,1,1,1,37,"1;2","zRwEzr3d",100,5,4,0,0.8,1
14,1.0086663429345,2,3,1,40,"1;2","zRwEzr3d",100,5,4,0,0.8,1
15,0.720123896931021,2,7,1,47,"1;2","zRwEzr3d",100,5,4,0,0.8,1
16,1.11437071959676,2,2,1,49,"1;2","zRwEzr3d",100,5,4,0,0.8,1
17,0.708295033370253,1,4,1,53,"1;2","zRwEzr3d",100,5,4,0,0.8,1
18,0.5,2,5,1,58,"1;2","zRwEzr3d",100,5,4,0,0.8,1
19,0.5,1,4,1,62,"1;2","zRwEzr3d",100,5,4,0,0.8,1
20,0.905020631540685,1,3,1,65,"1;2","zRwEzr3d",100,5,4,0,0.8,1
1,1.11779031121601,2,-11,2,-11,"1;2","zRwEzr3d",100,5,4,0,0.8,1
2,0.940728440695423,1,8,2,-3,"1;2","zRwEzr3d",100,5,4,0,0.8,1
3,1.01634625020931,2,1,2,-2,"1;2","zRwEzr3d",100,5,4,0,0.8,1
4,0.65849439894928,1,4,2,2,"1;2","zRwEzr3d",100,5,4,0,0.8,1
5,0.805820706771382,1,5,2,7,"1;2","zRwEzr3d",100,5,4,0,0.8,1
6,0.839536884182446,1,0,2,7,"1;2","zRwEzr3d",100,5,4,0,0.8,1
7,0.723914634038061,1,6,2,13,"1;2","zRwEzr3d",100,5,4,0,0.8,1
8,0.973894280408828,2,0,2,13,"1;2","zRwEzr3d",100,5,4,0,0.8,1
9,0.994311200401164,1,3,2,16,"1;2","zRwEzr3d",100,5,4,0,0.8,1
10,0.606104166894423,1,2,2,18,"1;2","zRwEzr3d",100,5,4,0,0.8,1
11,0.74539903493088,1,4,2,22,"1;2","zRwEzr3d",100,5,4,0,0.8,1
12,0.89929121239924,1,4,2,26,"1;2","zRwEzr3d",100,5,4,0,0.8,1
13,0.786216694645753,1,3,2,29,"1;2","zRwEzr3d",100,5,4,0,0.8,1
14,1.03807135878711,1,8,2,37,"1;2","zRwEzr3d",100,5,4,0,0.8,1
15,0.774372141583101,1,5,2,42,"1;2","zRwEzr3d",100,5,4,0,0.8,1
16,0.555951031676444,1,5,2,47,"1;2","zRwEzr3d",100,5,4,0,0.8,1
17,0.761392384668272,1,7,2,54,"1;2","zRwEzr3d",100,5,4,0,0.8,1
18,0.685362936876787,1,5,2,59,"1;2","zRwEzr3d",100,5,4,0,0.8,1
19,0.961375985822366,1,0,2,59,"1;2","zRwEzr3d",100,5,4,0,0.8,1
20,1.21037321617572,2,15,2,74,"1;2","zRwEzr3d",100,5,4,0,0.8,1
21,0.678160117244367,2,4,2,78,"1;2","zRwEzr3d",100,5,4,0,0.8,1
22,1.27783529130943,2,-5,2,73,"1;2","zRwEzr3d",100,5,4,0,0.8,1
23,0.5,2,5,2,78,"1;2","zRwEzr3d",100,5,4,0,0.8,1
24,1.06287350622678,1,5,2,83,"1;2","zRwEzr3d",100,5,4,0,0.8,1
25,0.563569536194686,2,-5,2,78,"1;2","zRwEzr3d",100,5,4,0,0.8,1
1,0.996856640946544,1,10,3,10,"1;2","zRwEzr3d",100,5,4,0,0.8,1
2,0.739546252670512,1,9,3,19,"1;2","zRwEzr3d",100,5,4,0,0.8,1
3,0.695222587137733,1,4,3,23,"1;2","zRwEzr3d",100,5,4,0,0.8,1
4,0.731951557243239,1,3,3,26,"1;2","zRwEzr3d",100,5,4,0,0.8,1
5,0.679377403665385,1,-2,3,24,"1;2","zRwEzr3d",100,5,4,0,0.8,1
6,0.677230322629881,1,5,3,29,"1;2","zRwEzr3d",100,5,4,0,0.8,1
7,0.909660060374773,1,5,3,34,"1;2","zRwEzr3d",100,5,4,0,0.8,1
8,0.530207380445886,1,2,3,36,"1;2","zRwEzr3d",100,5,4,0,0.8,1
9,0.71009399545712,1,0,3,36,"1;2","zRwEzr3d",100,5,4,0,0.8,1
10,1.16685549880126,1,6,3,42,"1;2","zRwEzr3d",100,5,4,0,0.8,1
11,0.788278110176887,1,4,3,46,"1;2","zRwEzr3d",100,5,4,0,0.8,1
12,1.12720478426589,1,2,3,48,"1;2","zRwEzr3d",100,5,4,0,0.8,1
13,0.5,1,3,3,51,"1;2","zRwEzr3d",100,5,4,0,0.8,1
14,0.760729134276037,1,0,3,51,"1;2","zRwEzr3d",100,5,4,0,0.8,1
15,0.577494205054988,1,6,3,57,"1;2","zRwEzr3d",100,5,4,0,0.8,1
16,1.37579023034586,1,4,3,61,"1;2","zRwEzr3d",100,5,4,0,0.8,1
17,0.953747086103333,1,4,3,65,"1;2","zRwEzr3d",100,5,4,0,0.8,1
18,0.823332475189887,2,23,3,88,"1;2","zRwEzr3d",100,5,4,0,0.8,1
