"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,1.24063424731942,1,0,1,0,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
2,1.00619689057195,2,5,1,5,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
3,0.932789622737067,2,6,1,11,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
4,1.13935226680391,2,2,1,13,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
5,0.694225876083341,2,3,1,16,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
6,1.11061218626,1,3,1,19,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
7,0.5,1,0,1,19,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
8,0.725187720256648,1,3,1,22,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
9,0.519852033420689,2,5,1,27,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
10,0.798835250284158,2,3,1,30,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
11,0.5,2,5,1,35,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
12,1.1188938412375,1,3,1,38,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
13,0.5,2,5,1,43,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
14,1.09722873328659,1,4,1,47,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
15,0.978751974316978,1,0,1,47,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
16,0.927403492337173,1,2,1,49,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
17,0.784721819960932,1,4,1,53,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
18,0.705483803832542,2,5,1,58,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
19,0.966706272242971,1,0,1,58,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
20,0.530112018762805,1,2,1,60,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
1,1.23911178045543,1,5,2,5,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
2,1.06972564783406,1,-6,2,-1,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
3,0.545831186924956,1,-6,2,-7,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
4,1.00877545656255,1,25,2,18,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
5,0.573378106070365,2,3,2,21,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
6,1.01732614935712,1,0,2,21,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
7,0.861487457642605,1,-1,2,20,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
8,0.85970121342752,2,1,2,21,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
9,0.922190460970313,1,7,2,28,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
10,0.653953238757558,2,4,2,32,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
11,0.637641896916516,1,1,2,33,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
12,0.761322060815077,1,7,2,40,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
13,0.5,1,-2,2,38,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
14,0.955402820206172,1,10,2,48,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
15,1.1021624206085,1,-3,2,45,"2;1","zTFsg1HT",0,3,NA,2,0.8,1
