"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.712757293595286,1,2,1,2,"1;2","zaqcsYhk",100,4,6,0,1.2,2
2,0.688409694062718,1,1,1,3,"1;2","zaqcsYhk",100,4,6,0,1.2,2
3,0.618241850073752,1,-1,1,2,"1;2","zaqcsYhk",100,4,6,0,1.2,2
4,0.871680897669135,1,3,1,5,"1;2","zaqcsYhk",100,4,6,0,1.2,2
5,0.624517043847478,1,1,1,6,"1;2","zaqcsYhk",100,4,6,0,1.2,2
6,0.887668076540259,1,-2,1,4,"1;2","zaqcsYhk",100,4,6,0,1.2,2
7,0.758775273624555,1,2,1,6,"1;2","zaqcsYhk",100,4,6,0,1.2,2
8,0.618596974079153,2,0,1,6,"1;2","zaqcsYhk",100,4,6,0,1.2,2
9,0.5,2,4,1,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
10,1.35075551582199,2,3,1,13,"1;2","zaqcsYhk",100,4,6,0,1.2,2
11,0.5,2,4,1,17,"1;2","zaqcsYhk",100,4,6,0,1.2,2
12,0.5,1,4,1,21,"1;2","zaqcsYhk",100,4,6,0,1.2,2
13,0.5,2,4,1,25,"1;2","zaqcsYhk",100,4,6,0,1.2,2
14,0.76000110391996,1,6,1,31,"1;2","zaqcsYhk",100,4,6,0,1.2,2
15,0.729246602182959,1,3,1,34,"1;2","zaqcsYhk",100,4,6,0,1.2,2
16,0.618134328787266,2,5,1,39,"1;2","zaqcsYhk",100,4,6,0,1.2,2
17,0.705254291692109,2,0,1,39,"1;2","zaqcsYhk",100,4,6,0,1.2,2
18,0.762700741442458,2,4,1,43,"1;2","zaqcsYhk",100,4,6,0,1.2,2
19,0.5,1,5,1,48,"1;2","zaqcsYhk",100,4,6,0,1.2,2
20,1.28005114968683,2,3,1,51,"1;2","zaqcsYhk",100,4,6,0,1.2,2
1,0.759106107220169,1,-4,2,-4,"2;1","zaqcsYhk",100,4,6,0,1.2,2
2,0.899609232344095,2,3,2,-1,"2;1","zaqcsYhk",100,4,6,0,1.2,2
3,0.505364727844955,2,3,2,2,"2;1","zaqcsYhk",100,4,6,0,1.2,2
4,0.893718944676251,2,7,2,9,"2;1","zaqcsYhk",100,4,6,0,1.2,2
5,1.06537979270212,2,3,2,12,"2;1","zaqcsYhk",100,4,6,0,1.2,2
6,0.719478841471845,2,1,2,13,"2;1","zaqcsYhk",100,4,6,0,1.2,2
7,1.16347361544515,2,3,2,16,"2;1","zaqcsYhk",100,4,6,0,1.2,2
8,0.675734431031564,2,6,2,22,"2;1","zaqcsYhk",100,4,6,0,1.2,2
9,0.947556864016731,2,5,2,27,"2;1","zaqcsYhk",100,4,6,0,1.2,2
10,0.667573322711816,2,4,2,31,"2;1","zaqcsYhk",100,4,6,0,1.2,2
11,0.5,2,5,2,36,"2;1","zaqcsYhk",100,4,6,0,1.2,2
12,1.20767214309265,2,4,2,40,"2;1","zaqcsYhk",100,4,6,0,1.2,2
13,0.600799227733808,2,7,2,47,"2;1","zaqcsYhk",100,4,6,0,1.2,2
14,1.31959856153527,2,4,2,51,"2;1","zaqcsYhk",100,4,6,0,1.2,2
15,1.09406600407495,1,1,2,52,"2;1","zaqcsYhk",100,4,6,0,1.2,2
16,0.897435248020506,1,0,2,52,"2;1","zaqcsYhk",100,4,6,0,1.2,2
17,0.5,1,0,2,52,"2;1","zaqcsYhk",100,4,6,0,1.2,2
18,0.749427363944351,2,3,2,55,"2;1","zaqcsYhk",100,4,6,0,1.2,2
19,0.577137177067526,1,-5,2,50,"2;1","zaqcsYhk",100,4,6,0,1.2,2
20,0.53610076075737,2,8,2,58,"2;1","zaqcsYhk",100,4,6,0,1.2,2
21,0.501360524754417,2,8,2,66,"2;1","zaqcsYhk",100,4,6,0,1.2,2
22,0.895970313151301,2,2,2,68,"2;1","zaqcsYhk",100,4,6,0,1.2,2
23,0.542764012364253,2,5,2,73,"2;1","zaqcsYhk",100,4,6,0,1.2,2
24,0.5,1,2,2,75,"2;1","zaqcsYhk",100,4,6,0,1.2,2
25,0.689568400114705,1,-7,2,68,"2;1","zaqcsYhk",100,4,6,0,1.2,2
1,0.813120591449983,2,10,3,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
2,0.5,2,5,3,15,"1;2","zaqcsYhk",100,4,6,0,1.2,2
3,0.760071640260585,2,-3,3,12,"1;2","zaqcsYhk",100,4,6,0,1.2,2
4,1.07106356117435,2,15,3,27,"1;2","zaqcsYhk",100,4,6,0,1.2,2
5,0.653750551482084,2,-11,3,16,"1;2","zaqcsYhk",100,4,6,0,1.2,2
6,0.639229584329098,2,11,3,27,"1;2","zaqcsYhk",100,4,6,0,1.2,2
7,1.2148467379893,2,-8,3,19,"1;2","zaqcsYhk",100,4,6,0,1.2,2
8,0.948117440583434,2,22,3,41,"1;2","zaqcsYhk",100,4,6,0,1.2,2
9,0.675182876948197,2,1,3,42,"1;2","zaqcsYhk",100,4,6,0,1.2,2
10,0.968620943768422,2,9,3,51,"1;2","zaqcsYhk",100,4,6,0,1.2,2
11,0.889926074246753,2,-1,3,50,"1;2","zaqcsYhk",100,4,6,0,1.2,2
12,1.13775435377191,2,-2,3,48,"1;2","zaqcsYhk",100,4,6,0,1.2,2
13,0.5,1,4,3,52,"1;2","zaqcsYhk",100,4,6,0,1.2,2
14,0.751361941244462,2,-9,3,43,"1;2","zaqcsYhk",100,4,6,0,1.2,2
15,0.779560232290628,1,-1,3,42,"1;2","zaqcsYhk",100,4,6,0,1.2,2
16,1.02173179428148,2,15,3,57,"1;2","zaqcsYhk",100,4,6,0,1.2,2
17,0.732845115875781,2,1,3,58,"1;2","zaqcsYhk",100,4,6,0,1.2,2
18,0.837228031463957,1,6,3,64,"1;2","zaqcsYhk",100,4,6,0,1.2,2
19,0.966919582992139,1,5,3,69,"1;2","zaqcsYhk",100,4,6,0,1.2,2
20,0.62680163481976,2,21,3,90,"1;2","zaqcsYhk",100,4,6,0,1.2,2
21,0.544244647082815,2,27,3,117,"1;2","zaqcsYhk",100,4,6,0,1.2,2
22,0.826416221743868,1,3,3,120,"1;2","zaqcsYhk",100,4,6,0,1.2,2
23,0.986049380750727,1,0,3,120,"1;2","zaqcsYhk",100,4,6,0,1.2,2
24,1.10272175798622,1,6,3,126,"1;2","zaqcsYhk",100,4,6,0,1.2,2
25,0.968545079487831,2,-5,3,121,"1;2","zaqcsYhk",100,4,6,0,1.2,2
1,0.969265947693699,1,-3,4,-3,"2;1","zaqcsYhk",100,4,6,0,1.2,2
2,0.815077256499401,2,4,4,1,"2;1","zaqcsYhk",100,4,6,0,1.2,2
3,0.869147317331678,1,13,4,14,"2;1","zaqcsYhk",100,4,6,0,1.2,2
4,0.538971929246346,1,3,4,17,"2;1","zaqcsYhk",100,4,6,0,1.2,2
5,0.706038124534875,1,6,4,23,"2;1","zaqcsYhk",100,4,6,0,1.2,2
6,0.680563730905799,1,9,4,32,"2;1","zaqcsYhk",100,4,6,0,1.2,2
7,0.726960980143313,1,-14,4,18,"2;1","zaqcsYhk",100,4,6,0,1.2,2
8,0.739062865677891,1,8,4,26,"2;1","zaqcsYhk",100,4,6,0,1.2,2
9,0.594718167149916,2,6,4,32,"2;1","zaqcsYhk",100,4,6,0,1.2,2
10,0.714476594584587,2,2,4,34,"2;1","zaqcsYhk",100,4,6,0,1.2,2
11,0.84051703506396,1,3,4,37,"2;1","zaqcsYhk",100,4,6,0,1.2,2
12,0.838456338195919,1,6,4,43,"2;1","zaqcsYhk",100,4,6,0,1.2,2
13,0.649217452220869,2,6,4,49,"2;1","zaqcsYhk",100,4,6,0,1.2,2
14,0.5,1,-19,4,30,"2;1","zaqcsYhk",100,4,6,0,1.2,2
15,1.0640603122459,2,3,4,33,"2;1","zaqcsYhk",100,4,6,0,1.2,2
16,0.658622341816327,2,5,4,38,"2;1","zaqcsYhk",100,4,6,0,1.2,2
17,0.836661247884579,1,10,4,48,"2;1","zaqcsYhk",100,4,6,0,1.2,2
18,0.822925912128886,2,6,4,54,"2;1","zaqcsYhk",100,4,6,0,1.2,2
19,0.502554379749292,1,-11,4,43,"2;1","zaqcsYhk",100,4,6,0,1.2,2
20,0.780792408434273,1,1,4,44,"2;1","zaqcsYhk",100,4,6,0,1.2,2
21,0.656355122450396,2,0,4,44,"2;1","zaqcsYhk",100,4,6,0,1.2,2
22,1.28730761472279,2,3,4,47,"2;1","zaqcsYhk",100,4,6,0,1.2,2
23,0.801405611913922,1,-5,4,42,"2;1","zaqcsYhk",100,4,6,0,1.2,2
24,1.02751807420057,2,4,4,46,"2;1","zaqcsYhk",100,4,6,0,1.2,2
25,0.773892250746221,1,9,4,55,"2;1","zaqcsYhk",100,4,6,0,1.2,2
1,1.08952309397212,1,5,5,5,"1;2","zaqcsYhk",100,4,6,0,1.2,2
2,0.573998294759358,1,5,5,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
3,0.970591285100153,2,4,5,14,"1;2","zaqcsYhk",100,4,6,0,1.2,2
4,0.949776919045174,2,2,5,16,"1;2","zaqcsYhk",100,4,6,0,1.2,2
5,0.887100034501713,1,4,5,20,"1;2","zaqcsYhk",100,4,6,0,1.2,2
6,0.959103207632111,1,4,5,24,"1;2","zaqcsYhk",100,4,6,0,1.2,2
7,1.00654747090701,2,-4,5,20,"1;2","zaqcsYhk",100,4,6,0,1.2,2
8,0.954702034566522,2,-14,5,6,"1;2","zaqcsYhk",100,4,6,0,1.2,2
9,0.813491129284734,1,4,5,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
10,1.00175189242877,2,2,5,12,"1;2","zaqcsYhk",100,4,6,0,1.2,2
11,0.796752041142528,1,2,5,14,"1;2","zaqcsYhk",100,4,6,0,1.2,2
12,0.932513945996383,2,-4,5,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
13,1.07626899408401,2,-18,5,-8,"1;2","zaqcsYhk",100,4,6,0,1.2,2
14,1.17980140514562,2,19,5,11,"1;2","zaqcsYhk",100,4,6,0,1.2,2
15,0.627347008849049,2,26,5,37,"1;2","zaqcsYhk",100,4,6,0,1.2,2
16,0.692486806465774,2,6,5,43,"1;2","zaqcsYhk",100,4,6,0,1.2,2
17,0.754761253164966,1,-1,5,42,"1;2","zaqcsYhk",100,4,6,0,1.2,2
18,1.14297078747428,2,7,5,49,"1;2","zaqcsYhk",100,4,6,0,1.2,2
19,0.875178928367361,2,21,5,70,"1;2","zaqcsYhk",100,4,6,0,1.2,2
20,0.5,1,1,5,71,"1;2","zaqcsYhk",100,4,6,0,1.2,2
21,0.5,1,4,5,75,"1;2","zaqcsYhk",100,4,6,0,1.2,2
22,1.08647280967617,2,1,5,76,"1;2","zaqcsYhk",100,4,6,0,1.2,2
23,0.935113009330508,2,27,5,103,"1;2","zaqcsYhk",100,4,6,0,1.2,2
24,0.662520910394959,1,5,5,108,"1;2","zaqcsYhk",100,4,6,0,1.2,2
25,0.565115960034651,1,4,5,112,"1;2","zaqcsYhk",100,4,6,0,1.2,2
1,0.5,2,1,6,1,"1;2","zaqcsYhk",100,4,6,0,1.2,2
2,0.704659826911751,1,8,6,9,"1;2","zaqcsYhk",100,4,6,0,1.2,2
3,0.716742907097377,2,1,6,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
4,1.07696113749339,2,-3,6,7,"1;2","zaqcsYhk",100,4,6,0,1.2,2
5,0.5,2,15,6,22,"1;2","zaqcsYhk",100,4,6,0,1.2,2
6,1.00178996764876,2,32,6,54,"1;2","zaqcsYhk",100,4,6,0,1.2,2
7,1.2769890630032,1,2,6,56,"1;2","zaqcsYhk",100,4,6,0,1.2,2
8,0.74342474650437,2,-3,6,53,"1;2","zaqcsYhk",100,4,6,0,1.2,2
9,0.828925850719007,2,27,6,80,"1;2","zaqcsYhk",100,4,6,0,1.2,2
10,0.851232629098788,1,4,6,84,"1;2","zaqcsYhk",100,4,6,0,1.2,2
11,1.10542029454159,2,34,6,118,"1;2","zaqcsYhk",100,4,6,0,1.2,2
12,0.5,1,4,6,122,"1;2","zaqcsYhk",100,4,6,0,1.2,2
13,0.5,2,25,6,147,"1;2","zaqcsYhk",100,4,6,0,1.2,2
14,0.709980610147899,1,4,6,151,"1;2","zaqcsYhk",100,4,6,0,1.2,2
15,0.700195615451175,1,3,6,154,"1;2","zaqcsYhk",100,4,6,0,1.2,2
16,0.917584697679283,1,5,6,159,"1;2","zaqcsYhk",100,4,6,0,1.2,2
17,0.54779153900797,2,10,6,169,"1;2","zaqcsYhk",100,4,6,0,1.2,2
18,0.95309818246298,2,0,6,169,"1;2","zaqcsYhk",100,4,6,0,1.2,2
19,0.573893611559913,1,4,6,173,"1;2","zaqcsYhk",100,4,6,0,1.2,2
20,0.599725735119614,1,2,6,175,"1;2","zaqcsYhk",100,4,6,0,1.2,2
21,0.936539794501096,1,4,6,179,"1;2","zaqcsYhk",100,4,6,0,1.2,2
22,0.850675305945006,1,4,6,183,"1;2","zaqcsYhk",100,4,6,0,1.2,2
23,0.556172082231386,1,4,6,187,"1;2","zaqcsYhk",100,4,6,0,1.2,2
24,0.5,1,7,6,194,"1;2","zaqcsYhk",100,4,6,0,1.2,2
25,0.793606661955723,2,7,6,201,"1;2","zaqcsYhk",100,4,6,0,1.2,2
1,0.909510028650028,2,7,7,7,"2;1","zaqcsYhk",100,4,6,0,1.2,2
2,0.67554009524871,2,5,7,12,"2;1","zaqcsYhk",100,4,6,0,1.2,2
3,0.612058496381448,2,3,7,15,"2;1","zaqcsYhk",100,4,6,0,1.2,2
4,0.958566795127239,2,8,7,23,"2;1","zaqcsYhk",100,4,6,0,1.2,2
5,0.666548696285489,2,3,7,26,"2;1","zaqcsYhk",100,4,6,0,1.2,2
6,0.518907980048275,2,3,7,29,"2;1","zaqcsYhk",100,4,6,0,1.2,2
7,0.524230890244537,1,25,7,54,"2;1","zaqcsYhk",100,4,6,0,1.2,2
8,1.19193413565664,2,5,7,59,"2;1","zaqcsYhk",100,4,6,0,1.2,2
9,0.680155204880894,1,-2,7,57,"2;1","zaqcsYhk",100,4,6,0,1.2,2
10,0.870697558813144,2,1,7,58,"2;1","zaqcsYhk",100,4,6,0,1.2,2
11,0.577508327133385,1,3,7,61,"2;1","zaqcsYhk",100,4,6,0,1.2,2
12,0.5,1,-3,7,58,"2;1","zaqcsYhk",100,4,6,0,1.2,2
13,0.5,1,0,7,58,"2;1","zaqcsYhk",100,4,6,0,1.2,2
14,0.512404113947144,1,-8,7,50,"2;1","zaqcsYhk",100,4,6,0,1.2,2
15,0.515662510229317,1,-7,7,43,"2;1","zaqcsYhk",100,4,6,0,1.2,2
16,0.78702809020648,1,19,7,62,"2;1","zaqcsYhk",100,4,6,0,1.2,2
17,1.19578027868267,1,-5,7,57,"2;1","zaqcsYhk",100,4,6,0,1.2,2
18,0.581197762952758,1,20,7,77,"2;1","zaqcsYhk",100,4,6,0,1.2,2
19,0.696767661353532,1,7,7,84,"2;1","zaqcsYhk",100,4,6,0,1.2,2
20,0.896537231845438,1,11,7,95,"2;1","zaqcsYhk",100,4,6,0,1.2,2
21,0.781072215452243,2,4,7,99,"2;1","zaqcsYhk",100,4,6,0,1.2,2
22,0.641129872534693,2,12,7,111,"2;1","zaqcsYhk",100,4,6,0,1.2,2
23,0.528651945832234,2,4,7,115,"2;1","zaqcsYhk",100,4,6,0,1.2,2
24,1.15763600330252,1,1,7,116,"2;1","zaqcsYhk",100,4,6,0,1.2,2
25,1.00880091155741,2,4,7,120,"2;1","zaqcsYhk",100,4,6,0,1.2,2
1,0.518420509819121,2,-22,8,-22,"1;2","zaqcsYhk",100,4,6,0,1.2,2
2,0.650052883370825,2,-6,8,-28,"1;2","zaqcsYhk",100,4,6,0,1.2,2
3,0.796575434909627,2,17,8,-11,"1;2","zaqcsYhk",100,4,6,0,1.2,2
4,1.22303646290163,1,5,8,-6,"1;2","zaqcsYhk",100,4,6,0,1.2,2
5,0.5,2,-5,8,-11,"1;2","zaqcsYhk",100,4,6,0,1.2,2
6,0.912306550750599,1,7,8,-4,"1;2","zaqcsYhk",100,4,6,0,1.2,2
7,1.02629046318501,2,15,8,11,"1;2","zaqcsYhk",100,4,6,0,1.2,2
8,0.5,2,11,8,22,"1;2","zaqcsYhk",100,4,6,0,1.2,2
9,0.655735932687142,1,1,8,23,"1;2","zaqcsYhk",100,4,6,0,1.2,2
10,0.88785716536973,2,0,8,23,"1;2","zaqcsYhk",100,4,6,0,1.2,2
11,0.852814366327722,1,4,8,27,"1;2","zaqcsYhk",100,4,6,0,1.2,2
12,0.5,2,-11,8,16,"1;2","zaqcsYhk",100,4,6,0,1.2,2
13,0.851279499787729,2,8,8,24,"1;2","zaqcsYhk",100,4,6,0,1.2,2
14,1.01181256267921,1,7,8,31,"1;2","zaqcsYhk",100,4,6,0,1.2,2
15,0.738102487637423,1,3,8,34,"1;2","zaqcsYhk",100,4,6,0,1.2,2
16,0.508825734567778,2,-4,8,30,"1;2","zaqcsYhk",100,4,6,0,1.2,2
17,0.804481893472258,2,-4,8,26,"1;2","zaqcsYhk",100,4,6,0,1.2,2
18,0.5,2,5,8,31,"1;2","zaqcsYhk",100,4,6,0,1.2,2
19,1.051474711433,2,3,8,34,"1;2","zaqcsYhk",100,4,6,0,1.2,2
20,0.937775960235707,2,10,8,44,"1;2","zaqcsYhk",100,4,6,0,1.2,2
21,0.687967462145116,1,0,8,44,"1;2","zaqcsYhk",100,4,6,0,1.2,2
22,1.15438267130612,1,4,8,48,"1;2","zaqcsYhk",100,4,6,0,1.2,2
23,1.3043952916032,2,3,8,51,"1;2","zaqcsYhk",100,4,6,0,1.2,2
24,0.517728621501965,1,2,8,53,"1;2","zaqcsYhk",100,4,6,0,1.2,2
25,0.74870508597836,1,3,8,56,"1;2","zaqcsYhk",100,4,6,0,1.2,2
1,0.780802126282242,2,-5,9,-5,"1;2","zaqcsYhk",100,4,6,0,1.2,2
2,1.13190136906066,2,-2,9,-7,"1;2","zaqcsYhk",100,4,6,0,1.2,2
3,0.5,2,-3,9,-10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
4,0.821072350256558,2,7,9,-3,"1;2","zaqcsYhk",100,4,6,0,1.2,2
5,0.63705521999348,2,13,9,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
6,1.30816987390672,2,7,9,17,"1;2","zaqcsYhk",100,4,6,0,1.2,2
7,1.27982337832989,1,2,9,19,"1;2","zaqcsYhk",100,4,6,0,1.2,2
8,0.5,2,-9,9,10,"1;2","zaqcsYhk",100,4,6,0,1.2,2
9,0.991233083587767,2,14,9,24,"1;2","zaqcsYhk",100,4,6,0,1.2,2
10,0.921777591009557,2,2,9,26,"1;2","zaqcsYhk",100,4,6,0,1.2,2
11,0.844344962617798,2,12,9,38,"1;2","zaqcsYhk",100,4,6,0,1.2,2
12,0.852053422813031,2,0,9,38,"1;2","zaqcsYhk",100,4,6,0,1.2,2
13,0.5,2,19,9,57,"1;2","zaqcsYhk",100,4,6,0,1.2,2
14,0.654551355990663,1,3,9,60,"1;2","zaqcsYhk",100,4,6,0,1.2,2
15,1.09457042905016,2,24,9,84,"1;2","zaqcsYhk",100,4,6,0,1.2,2
