"trial","time","selection","outcome","game","points.cum","option.order","workerid","goal","condition","n.goals.reached","checkFails","payout","which.high.ev"
1,0.651262959998259,2,4,1,4,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
2,0.743456631640805,1,7,1,11,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
3,0.971098912815557,1,1,1,12,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
4,0.672462931647558,1,5,1,17,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
5,0.711107319074536,1,4,1,21,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
6,0.877620138456713,1,5,1,26,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
7,0.5,1,3,1,29,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
8,0.864681583087183,1,2,1,31,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
9,0.746415963673036,2,6,1,37,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
10,0.985091416981491,1,6,1,43,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
11,0.704497077344739,2,4,1,47,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
12,0.536409605191064,1,3,1,50,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
13,0.861169624087952,1,2,1,52,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
14,0.844232069088625,1,4,1,56,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
15,0.972094205729855,1,6,1,62,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
16,1.29730494965469,1,-2,1,60,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
17,1.00402071224551,2,5,1,65,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
18,0.5,2,4,1,69,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
19,1.15552362280012,2,-1,1,68,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
20,0.773164841058037,1,4,1,72,"1;2","zzGf95MJ",0,3,NA,3,0.71,1
1,0.744880058861858,2,3,2,3,"2;1","zzGf95MJ",0,3,NA,3,0.71,1
2,0.918877855653812,1,1,2,4,"2;1","zzGf95MJ",0,3,NA,3,0.71,1
3,1.14457628407371,2,-1,2,3,"2;1","zzGf95MJ",0,3,NA,3,0.71,1
4,0.646153994430975,1,0,2,3,"2;1","zzGf95MJ",0,3,NA,3,0.71,1
5,0.84460417231171,2,-1,2,2,"2;1","zzGf95MJ",0,3,NA,3,0.71,1
