"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	1.05201552448359	1	2	1	2	"1;2"	"id_220"	100	4	4	2	0.8	2
2	0.81958130009652	2	5	1	7	"1;2"	"id_220"	100	4	4	2	0.8	2
3	0.931612221035842	1	1	1	8	"1;2"	"id_220"	100	4	4	2	0.8	2
4	0.762389701775631	2	1	1	9	"1;2"	"id_220"	100	4	4	2	0.8	2
5	0.888225703448889	2	1	1	10	"1;2"	"id_220"	100	4	4	2	0.8	2
6	0.898199451664685	2	3	1	13	"1;2"	"id_220"	100	4	4	2	0.8	2
7	1.00232034283047	2	4	1	17	"1;2"	"id_220"	100	4	4	2	0.8	2
8	1.06857772029143	1	4	1	21	"1;2"	"id_220"	100	4	4	2	0.8	2
9	0.68846486374928	2	2	1	23	"1;2"	"id_220"	100	4	4	2	0.8	2
10	1.20956603217253	1	5	1	28	"1;2"	"id_220"	100	4	4	2	0.8	2
11	1.01215884791956	1	0	1	28	"1;2"	"id_220"	100	4	4	2	0.8	2
12	1.35456679503188	1	5	1	33	"1;2"	"id_220"	100	4	4	2	0.8	2
13	0.845667202404299	1	2	1	35	"1;2"	"id_220"	100	4	4	2	0.8	2
14	0.912124295353461	1	4	1	39	"1;2"	"id_220"	100	4	4	2	0.8	2
15	0.5	2	5	1	44	"1;2"	"id_220"	100	4	4	2	0.8	2
16	0.66356236998584	1	4	1	48	"1;2"	"id_220"	100	4	4	2	0.8	2
17	0.815634286756461	1	4	1	52	"1;2"	"id_220"	100	4	4	2	0.8	2
18	1.01135942075479	2	3	1	55	"1;2"	"id_220"	100	4	4	2	0.8	2
19	1.09848295048045	1	4	1	59	"1;2"	"id_220"	100	4	4	2	0.8	2
20	0.589658415847267	1	3	1	62	"1;2"	"id_220"	100	4	4	2	0.8	2
1	0.510363990969659	2	22	2	22	"1;2"	"id_220"	100	4	4	2	0.8	2
2	0.566007519266602	2	-14	2	8	"1;2"	"id_220"	100	4	4	2	0.8	2
3	0.5	2	21	2	29	"1;2"	"id_220"	100	4	4	2	0.8	2
4	1.07339743275295	1	6	2	35	"1;2"	"id_220"	100	4	4	2	0.8	2
