"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	0.842544474395884	1	4	1	4	"2;1"	"id_284"	100	6	5	1	1	1
2	0.929189519983292	1	6	1	10	"2;1"	"id_284"	100	6	5	1	1	1
3	0.851328232051849	1	4	1	14	"2;1"	"id_284"	100	6	5	1	1	1
4	0.735455707988436	2	4	1	18	"2;1"	"id_284"	100	6	5	1	1	1
5	0.5	2	2	1	20	"2;1"	"id_284"	100	6	5	1	1	1
6	0.967236661362998	1	4	1	24	"2;1"	"id_284"	100	6	5	1	1	1
7	1.19989855568839	1	3	1	27	"2;1"	"id_284"	100	6	5	1	1	1
8	0.934928927660496	2	4	1	31	"2;1"	"id_284"	100	6	5	1	1	1
9	0.753072156265691	1	3	1	34	"2;1"	"id_284"	100	6	5	1	1	1
10	0.73005753555342	1	3	1	37	"2;1"	"id_284"	100	6	5	1	1	1
11	0.5	1	4	1	41	"2;1"	"id_284"	100	6	5	1	1	1
12	0.726340948082508	1	2	1	43	"2;1"	"id_284"	100	6	5	1	1	1
13	0.792415188434691	1	2	1	45	"2;1"	"id_284"	100	6	5	1	1	1
14	0.600888867239257	1	2	1	47	"2;1"	"id_284"	100	6	5	1	1	1
15	0.880766268743123	1	4	1	51	"2;1"	"id_284"	100	6	5	1	1	1
16	0.915275696760433	2	7	1	58	"2;1"	"id_284"	100	6	5	1	1	1
17	0.5	2	5	1	63	"2;1"	"id_284"	100	6	5	1	1	1
18	0.720278764412122	2	2	1	65	"2;1"	"id_284"	100	6	5	1	1	1
19	0.5	1	5	1	70	"2;1"	"id_284"	100	6	5	1	1	1
20	0.5	1	3	1	73	"2;1"	"id_284"	100	6	5	1	1	1
1	0.510938084772978	1	0	2	0	"1;2"	"id_284"	100	6	5	1	1	1
2	0.590226931361139	2	-10	2	-10	"1;2"	"id_284"	100	6	5	1	1	1
3	0.874410458510003	2	-14	2	-24	"1;2"	"id_284"	100	6	5	1	1	1
4	1.15045013081697	1	7	2	-17	"1;2"	"id_284"	100	6	5	1	1	1
5	0.5	2	11	2	-6	"1;2"	"id_284"	100	6	5	1	1	1
6	0.534104719361496	2	8	2	2	"1;2"	"id_284"	100	6	5	1	1	1
7	0.55942424680016	1	5	2	7	"1;2"	"id_284"	100	6	5	1	1	1
8	0.868613257598142	2	1	2	8	"1;2"	"id_284"	100	6	5	1	1	1
9	0.943766925147854	2	-1	2	7	"1;2"	"id_284"	100	6	5	1	1	1
10	0.855660859104456	2	-11	2	-4	"1;2"	"id_284"	100	6	5	1	1	1
11	0.804320078501754	2	7	2	3	"1;2"	"id_284"	100	6	5	1	1	1
12	0.599590495216933	1	2	2	5	"1;2"	"id_284"	100	6	5	1	1	1
13	0.959748172336817	2	10	2	15	"1;2"	"id_284"	100	6	5	1	1	1
14	1.10099850259552	2	11	2	26	"1;2"	"id_284"	100	6	5	1	1	1
15	0.867360785545576	1	2	2	28	"1;2"	"id_284"	100	6	5	1	1	1
16	1.09636652967993	2	12	2	40	"1;2"	"id_284"	100	6	5	1	1	1
17	0.942774560932073	2	10	2	50	"1;2"	"id_284"	100	6	5	1	1	1
18	0.54623348751426	2	-12	2	38	"1;2"	"id_284"	100	6	5	1	1	1
19	0.875876653755414	1	2	2	40	"1;2"	"id_284"	100	6	5	1	1	1
20	0.579215938576733	2	5	2	45	"1;2"	"id_284"	100	6	5	1	1	1
21	0.701555434242847	1	2	2	47	"1;2"	"id_284"	100	6	5	1	1	1
22	0.5	2	-9	2	38	"1;2"	"id_284"	100	6	5	1	1	1
23	0.5	1	-2	2	36	"1;2"	"id_284"	100	6	5	1	1	1
24	1.14381717694753	2	10	2	46	"1;2"	"id_284"	100	6	5	1	1	1
25	0.686154306423686	2	-16	2	30	"1;2"	"id_284"	100	6	5	1	1	1
1	0.826404845509	2	2	3	2	"2;1"	"id_284"	100	6	5	1	1	1
2	1.04113649576617	2	4	3	6	"2;1"	"id_284"	100	6	5	1	1	1
3	1.28179058834125	2	3	3	9	"2;1"	"id_284"	100	6	5	1	1	1
4	0.758543246662028	2	3	3	12	"2;1"	"id_284"	100	6	5	1	1	1
5	0.534490396101153	2	2	3	14	"2;1"	"id_284"	100	6	5	1	1	1
6	0.811145267178604	2	5	3	19	"2;1"	"id_284"	100	6	5	1	1	1
7	0.782164976294502	2	5	3	24	"2;1"	"id_284"	100	6	5	1	1	1
8	0.705418387348736	1	-8	3	16	"2;1"	"id_284"	100	6	5	1	1	1
9	1.1552482335103	2	2	3	18	"2;1"	"id_284"	100	6	5	1	1	1
10	0.616357888732892	2	2	3	20	"2;1"	"id_284"	100	6	5	1	1	1
11	0.538860267273635	1	18	3	38	"2;1"	"id_284"	100	6	5	1	1	1
12	0.819534567484717	2	1	3	39	"2;1"	"id_284"	100	6	5	1	1	1
13	1.02328011390047	2	9	3	48	"2;1"	"id_284"	100	6	5	1	1	1
14	1.13543839262699	2	4	3	52	"2;1"	"id_284"	100	6	5	1	1	1
15	0.863699815778909	1	10	3	62	"2;1"	"id_284"	100	6	5	1	1	1
16	0.799564651721234	1	22	3	84	"2;1"	"id_284"	100	6	5	1	1	1
17	0.85865815711633	2	3	3	87	"2;1"	"id_284"	100	6	5	1	1	1
18	0.840139559537253	1	6	3	93	"2;1"	"id_284"	100	6	5	1	1	1
19	0.507600584428672	2	3	3	96	"2;1"	"id_284"	100	6	5	1	1	1
20	0.584108912308117	2	1	3	97	"2;1"	"id_284"	100	6	5	1	1	1
21	0.589549623748275	2	1	3	98	"2;1"	"id_284"	100	6	5	1	1	1
22	0.5	1	8	3	106	"2;1"	"id_284"	100	6	5	1	1	1
23	0.573924988725719	2	5	3	111	"2;1"	"id_284"	100	6	5	1	1	1
24	0.642066142376904	2	4	3	115	"2;1"	"id_284"	100	6	5	1	1	1
25	1.01115378737833	2	4	3	119	"2;1"	"id_284"	100	6	5	1	1	1
1	1.00117680788064	1	0	4	0	"1;2"	"id_284"	100	6	5	1	1	1
2	1.07164226792691	1	4	4	4	"1;2"	"id_284"	100	6	5	1	1	1
3	0.5	1	3	4	7	"1;2"	"id_284"	100	6	5	1	1	1
4	1.1010237098169	2	-17	4	-10	"1;2"	"id_284"	100	6	5	1	1	1
5	0.5	1	-3	4	-13	"1;2"	"id_284"	100	6	5	1	1	1
6	0.5	1	6	4	-7	"1;2"	"id_284"	100	6	5	1	1	1
7	1.11136810192033	2	-15	4	-22	"1;2"	"id_284"	100	6	5	1	1	1
8	1.02774273563781	2	-2	4	-24	"1;2"	"id_284"	100	6	5	1	1	1
9	0.726400522051543	1	3	4	-21	"1;2"	"id_284"	100	6	5	1	1	1
10	0.861027216478597	2	-6	4	-27	"1;2"	"id_284"	100	6	5	1	1	1
11	0.5	2	28	4	1	"1;2"	"id_284"	100	6	5	1	1	1
12	0.573201715243752	2	6	4	7	"1;2"	"id_284"	100	6	5	1	1	1
13	1.24073639566681	2	6	4	13	"1;2"	"id_284"	100	6	5	1	1	1
14	0.665725231466936	2	0	4	13	"1;2"	"id_284"	100	6	5	1	1	1
15	0.763353358493358	2	36	4	49	"1;2"	"id_284"	100	6	5	1	1	1
16	1.06306719391812	2	-15	4	34	"1;2"	"id_284"	100	6	5	1	1	1
17	0.911576146758201	2	-4	4	30	"1;2"	"id_284"	100	6	5	1	1	1
18	0.678008932691956	2	22	4	52	"1;2"	"id_284"	100	6	5	1	1	1
19	0.963970259840008	1	5	4	57	"1;2"	"id_284"	100	6	5	1	1	1
20	0.5	2	17	4	74	"1;2"	"id_284"	100	6	5	1	1	1
21	0.705878987008315	2	-4	4	70	"1;2"	"id_284"	100	6	5	1	1	1
22	0.5	2	12	4	82	"1;2"	"id_284"	100	6	5	1	1	1
23	0.993702866812796	1	3	4	85	"1;2"	"id_284"	100	6	5	1	1	1
24	0.51552820396272	1	-2	4	83	"1;2"	"id_284"	100	6	5	1	1	1
25	1.07131728790819	2	11	4	94	"1;2"	"id_284"	100	6	5	1	1	1
1	0.85631213822478	1	2	5	2	"1;2"	"id_284"	100	6	5	1	1	1
2	0.529688178471606	2	5	5	7	"1;2"	"id_284"	100	6	5	1	1	1
3	0.776345112118773	1	4	5	11	"1;2"	"id_284"	100	6	5	1	1	1
4	1.14011689075275	1	7	5	18	"1;2"	"id_284"	100	6	5	1	1	1
5	0.603664467684118	2	14	5	32	"1;2"	"id_284"	100	6	5	1	1	1
6	0.533414736121515	2	-17	5	15	"1;2"	"id_284"	100	6	5	1	1	1
7	1.01025364869275	2	-1	5	14	"1;2"	"id_284"	100	6	5	1	1	1
