"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	3.212	1	4	1	4	"1;2"	"id_474"	100	4	6	2	1.5	1
2	4.991	1	4	1	8	"1;2"	"id_474"	100	4	6	2	1.5	1
3	4.312	1	2	1	10	"1;2"	"id_474"	100	4	6	2	1.5	1
4	2.24	2	5	1	15	"1;2"	"id_474"	100	4	6	2	1.5	1
5	1.56	2	4	1	19	"1;2"	"id_474"	100	4	6	2	1.5	1
6	3	2	2	1	21	"1;2"	"id_474"	100	4	6	2	1.5	1
7	0.792	1	3	1	24	"1;2"	"id_474"	100	4	6	2	1.5	1
8	0.761	1	3	1	27	"1;2"	"id_474"	100	4	6	2	1.5	1
9	0.967	2	2	1	29	"1;2"	"id_474"	100	4	6	2	1.5	1
10	0.904	1	2	1	31	"1;2"	"id_474"	100	4	6	2	1.5	1
11	0.904	1	4	1	35	"1;2"	"id_474"	100	4	6	2	1.5	1
12	0.752	1	4	1	39	"1;2"	"id_474"	100	4	6	2	1.5	1
13	1.56	2	5	1	44	"1;2"	"id_474"	100	4	6	2	1.5	1
14	1.392	1	8	1	52	"1;2"	"id_474"	100	4	6	2	1.5	1
15	2.192	1	4	1	56	"1;2"	"id_474"	100	4	6	2	1.5	1
16	0.784	2	5	1	61	"1;2"	"id_474"	100	4	6	2	1.5	1
17	0.84	2	5	1	66	"1;2"	"id_474"	100	4	6	2	1.5	1
18	0.888	2	2	1	68	"1;2"	"id_474"	100	4	6	2	1.5	1
19	0.76	1	2	1	70	"1;2"	"id_474"	100	4	6	2	1.5	1
20	0.842	2	6	1	76	"1;2"	"id_474"	100	4	6	2	1.5	1
21	0.951	2	5	1	81	"1;2"	"id_474"	100	4	6	2	1.5	1
22	1.575	1	4	1	85	"1;2"	"id_474"	100	4	6	2	1.5	1
23	1.009	1	5	1	90	"1;2"	"id_474"	100	4	6	2	1.5	1
24	1.487	2	4	1	94	"1;2"	"id_474"	100	4	6	2	1.5	1
25	1.016	1	7	1	101	"1;2"	"id_474"	100	4	6	2	1.5	1
