"trial"	"time"	"selection"	"outcome"	"game"	"points.cum"	"option.order"	"workerid"	"goal"	"condition"	"n.goals.reached"	"checkFails"	"payout"	"which.high.ev"
1	1.05	1	3	1	3	"2;1"	"id_396"	100	4	2	0	0.5	3
2	1.055	1	4	1	7	"2;1"	"id_396"	100	4	2	0	0.5	3
3	1.058	1	1	1	8	"2;1"	"id_396"	100	4	2	0	0.5	3
4	1.325	1	1	1	9	"2;1"	"id_396"	100	4	2	0	0.5	3
5	1.032	1	3	1	12	"2;1"	"id_396"	100	4	2	0	0.5	3
6	1.069	1	2	1	14	"2;1"	"id_396"	100	4	2	0	0.5	3
7	0.927	1	1	1	15	"2;1"	"id_396"	100	4	2	0	0.5	3
8	0.761	2	7	1	22	"2;1"	"id_396"	100	4	2	0	0.5	3
9	1.161	1	7	1	29	"2;1"	"id_396"	100	4	2	0	0.5	3
10	0.94	1	5	1	34	"2;1"	"id_396"	100	4	2	0	0.5	3
11	0.824	1	3	1	37	"2;1"	"id_396"	100	4	2	0	0.5	3
12	1.032	1	5	1	42	"2;1"	"id_396"	100	4	2	0	0.5	3
13	0.886	2	0	1	42	"2;1"	"id_396"	100	4	2	0	0.5	3
14	1.212	1	4	1	46	"2;1"	"id_396"	100	4	2	0	0.5	3
15	0.916	1	2	1	48	"2;1"	"id_396"	100	4	2	0	0.5	3
16	0.8	2	7	1	55	"2;1"	"id_396"	100	4	2	0	0.5	3
17	0.862	2	2	1	57	"2;1"	"id_396"	100	4	2	0	0.5	3
18	0.76	2	5	1	62	"2;1"	"id_396"	100	4	2	0	0.5	3
19	0.865	1	1	1	63	"2;1"	"id_396"	100	4	2	0	0.5	3
20	1.262	2	6	1	69	"2;1"	"id_396"	100	4	2	0	0.5	3
21	0.554	2	7	1	76	"2;1"	"id_396"	100	4	2	0	0.5	3
22	0.555	2	5	1	81	"2;1"	"id_396"	100	4	2	0	0.5	3
23	0.502	2	0	1	81	"2;1"	"id_396"	100	4	2	0	0.5	3
24	1.199	1	0	1	81	"2;1"	"id_396"	100	4	2	0	0.5	3
25	1.108	2	5	1	86	"2;1"	"id_396"	100	4	2	0	0.5	3
1	1.003	1	4	2	4	"1;2"	"id_396"	100	4	2	0	0.5	3
2	0.775	2	-7	2	-3	"1;2"	"id_396"	100	4	2	0	0.5	3
3	0.965	1	3	2	0	"1;2"	"id_396"	100	4	2	0	0.5	3
4	0.901	1	-1	2	-1	"1;2"	"id_396"	100	4	2	0	0.5	3
5	1.045	2	17	2	16	"1;2"	"id_396"	100	4	2	0	0.5	3
6	1.379	2	-12	2	4	"1;2"	"id_396"	100	4	2	0	0.5	3
7	1.07	1	7	2	11	"1;2"	"id_396"	100	4	2	0	0.5	3
8	0.746	1	10	2	21	"1;2"	"id_396"	100	4	2	0	0.5	3
9	0.761	1	2	2	23	"1;2"	"id_396"	100	4	2	0	0.5	3
10	1.056	2	-30	2	-7	"1;2"	"id_396"	100	4	2	0	0.5	3
11	1.018	1	3	2	-4	"1;2"	"id_396"	100	4	2	0	0.5	3
12	0.85	1	3	2	-1	"1;2"	"id_396"	100	4	2	0	0.5	3
13	0.633	1	9	2	8	"1;2"	"id_396"	100	4	2	0	0.5	3
14	0.567	1	1	2	9	"1;2"	"id_396"	100	4	2	0	0.5	3
15	0.748	1	5	2	14	"1;2"	"id_396"	100	4	2	0	0.5	3
16	0.604	1	4	2	18	"1;2"	"id_396"	100	4	2	0	0.5	3
17	0.607	1	2	2	20	"1;2"	"id_396"	100	4	2	0	0.5	3
18	0.58	2	12	2	32	"1;2"	"id_396"	100	4	2	0	0.5	3
19	0.632	2	1	2	33	"1;2"	"id_396"	100	4	2	0	0.5	3
20	0.993	1	8	2	41	"1;2"	"id_396"	100	4	2	0	0.5	3
21	0.542	1	9	2	50	"1;2"	"id_396"	100	4	2	0	0.5	3
22	0.863	2	0	2	50	"1;2"	"id_396"	100	4	2	0	0.5	3
23	0.927	1	3	2	53	"1;2"	"id_396"	100	4	2	0	0.5	3
24	0.851	1	3	2	56	"1;2"	"id_396"	100	4	2	0	0.5	3
25	0.876	1	1	2	57	"1;2"	"id_396"	100	4	2	0	0.5	3
1	1.184	2	-8	3	-8	"1;2"	"id_396"	100	4	2	0	0.5	3
2	0.967	1	3	3	-5	"1;2"	"id_396"	100	4	2	0	0.5	3
3	0.851	1	6	3	1	"1;2"	"id_396"	100	4	2	0	0.5	3
4	0.736	1	7	3	8	"1;2"	"id_396"	100	4	2	0	0.5	3
5	0.748	1	5	3	13	"1;2"	"id_396"	100	4	2	0	0.5	3
6	0.643	1	5	3	18	"1;2"	"id_396"	100	4	2	0	0.5	3
7	0.709	1	7	3	25	"1;2"	"id_396"	100	4	2	0	0.5	3
8	0.658	1	4	3	29	"1;2"	"id_396"	100	4	2	0	0.5	3
9	0.695	1	7	3	36	"1;2"	"id_396"	100	4	2	0	0.5	3
10	0.618	1	5	3	41	"1;2"	"id_396"	100	4	2	0	0.5	3
11	0.58	1	9	3	50	"1;2"	"id_396"	100	4	2	0	0.5	3
12	0.553	1	6	3	56	"1;2"	"id_396"	100	4	2	0	0.5	3
13	0.516	1	1	3	57	"1;2"	"id_396"	100	4	2	0	0.5	3
14	1.573	2	13	3	70	"1;2"	"id_396"	100	4	2	0	0.5	3
15	1.017	1	3	3	73	"1;2"	"id_396"	100	4	2	0	0.5	3
16	0.58	1	4	3	77	"1;2"	"id_396"	100	4	2	0	0.5	3
17	0.58	1	2	3	79	"1;2"	"id_396"	100	4	2	0	0.5	3
18	0.594	1	7	3	86	"1;2"	"id_396"	100	4	2	0	0.5	3
19	0.593	1	5	3	91	"1;2"	"id_396"	100	4	2	0	0.5	3
20	0.618	1	-3	3	88	"1;2"	"id_396"	100	4	2	0	0.5	3
21	1.017	2	6	3	94	"1;2"	"id_396"	100	4	2	0	0.5	3
22	0.683	2	-9	3	85	"1;2"	"id_396"	100	4	2	0	0.5	3
23	1.135	1	8	3	93	"1;2"	"id_396"	100	4	2	0	0.5	3
24	0.849	1	7	3	100	"1;2"	"id_396"	100	4	2	0	0.5	3
25	0.993	1	10	3	110	"1;2"	"id_396"	100	4	2	0	0.5	3
1	0.747	1	11	4	11	"2;1"	"id_396"	100	4	2	0	0.5	3
2	0.8	2	4	4	15	"2;1"	"id_396"	100	4	2	0	0.5	3
3	0.874	1	-9	4	6	"2;1"	"id_396"	100	4	2	0	0.5	3
4	0.851	2	3	4	9	"2;1"	"id_396"	100	4	2	0	0.5	3
5	0.67	2	2	4	11	"2;1"	"id_396"	100	4	2	0	0.5	3
6	0.709	2	7	4	18	"2;1"	"id_396"	100	4	2	0	0.5	3
7	0.877	1	7	4	25	"2;1"	"id_396"	100	4	2	0	0.5	3
8	0.67	1	-18	4	7	"2;1"	"id_396"	100	4	2	0	0.5	3
9	0.967	2	4	4	11	"2;1"	"id_396"	100	4	2	0	0.5	3
10	0.936	2	3	4	14	"2;1"	"id_396"	100	4	2	0	0.5	3
11	0.817	2	4	4	18	"2;1"	"id_396"	100	4	2	0	0.5	3
12	0.735	2	9	4	27	"2;1"	"id_396"	100	4	2	0	0.5	3
13	0.695	2	4	4	31	"2;1"	"id_396"	100	4	2	0	0.5	3
14	0.631	2	3	4	34	"2;1"	"id_396"	100	4	2	0	0.5	3
15	0.569	2	5	4	39	"2;1"	"id_396"	100	4	2	0	0.5	3
16	0.63	2	-1	4	38	"2;1"	"id_396"	100	4	2	0	0.5	3
17	0.787	1	1	4	39	"2;1"	"id_396"	100	4	2	0	0.5	3
18	0.594	1	-15	4	24	"2;1"	"id_396"	100	4	2	0	0.5	3
19	0.863	2	7	4	31	"2;1"	"id_396"	100	4	2	0	0.5	3
20	0.541	2	4	4	35	"2;1"	"id_396"	100	4	2	0	0.5	3
21	0.503	2	6	4	41	"2;1"	"id_396"	100	4	2	0	0.5	3
22	0.773	2	3	4	44	"2;1"	"id_396"	100	4	2	0	0.5	3
23	0.878	2	3	4	47	"2;1"	"id_396"	100	4	2	0	0.5	3
24	0.837	2	7	4	54	"2;1"	"id_396"	100	4	2	0	0.5	3
25	0.8	2	3	4	57	"2;1"	"id_396"	100	4	2	0	0.5	3
1	0.709	1	1	5	1	"1;2"	"id_396"	100	4	2	0	0.5	3
2	0.798	1	1	5	2	"1;2"	"id_396"	100	4	2	0	0.5	3
3	0.812	2	-12	5	-10	"1;2"	"id_396"	100	4	2	0	0.5	3
4	1.006	2	6	5	-4	"1;2"	"id_396"	100	4	2	0	0.5	3
5	0.605	2	4	5	0	"1;2"	"id_396"	100	4	2	0	0.5	3
6	0.554	2	-10	5	-10	"1;2"	"id_396"	100	4	2	0	0.5	3
7	0.631	2	5	5	-5	"1;2"	"id_396"	100	4	2	0	0.5	3
8	0.606	2	20	5	15	"1;2"	"id_396"	100	4	2	0	0.5	3
9	1.224	1	0	5	15	"1;2"	"id_396"	100	4	2	0	0.5	3
10	0.594	1	5	5	20	"1;2"	"id_396"	100	4	2	0	0.5	3
11	0.54	1	1	5	21	"1;2"	"id_396"	100	4	2	0	0.5	3
12	0.555	1	5	5	26	"1;2"	"id_396"	100	4	2	0	0.5	3
13	0.528	1	5	5	31	"1;2"	"id_396"	100	4	2	0	0.5	3
14	0.541	1	5	5	36	"1;2"	"id_396"	100	4	2	0	0.5	3
15	0.605	2	11	5	47	"1;2"	"id_396"	100	4	2	0	0.5	3
16	0.58	2	5	5	52	"1;2"	"id_396"	100	4	2	0	0.5	3
17	1.044	1	1	5	53	"1;2"	"id_396"	100	4	2	0	0.5	3
18	0.928	2	5	5	58	"1;2"	"id_396"	100	4	2	0	0.5	3
19	0.928	2	7	5	65	"1;2"	"id_396"	100	4	2	0	0.5	3
20	0.502	2	11	5	76	"1;2"	"id_396"	100	4	2	0	0.5	3
21	0.775	2	11	5	87	"1;2"	"id_396"	100	4	2	0	0.5	3
22	0.836	2	1	5	88	"1;2"	"id_396"	100	4	2	0	0.5	3
23	0.876	2	-9	5	79	"1;2"	"id_396"	100	4	2	0	0.5	3
24	1.108	1	10	5	89	"1;2"	"id_396"	100	4	2	0	0.5	3
25	0.697	1	6	5	95	"1;2"	"id_396"	100	4	2	0	0.5	3
1	0.764	1	1	6	1	"2;1"	"id_396"	100	4	2	0	0.5	3
2	0.725	2	8	6	9	"2;1"	"id_396"	100	4	2	0	0.5	3
3	0.694	2	2	6	11	"2;1"	"id_396"	100	4	2	0	0.5	3
